"odontologia" -- "materiais dentários"
"innovation" -- "science policy"
"innovation" -- "technology strategy"
"non-market valuation" -- "environmental economics"
"life history" -- "primate behavior"
"shm" -- "nde"
"conversion" -- "energy storage"
"colloidal nanocrystals" -- "nanoscience"
"recommender systems" -- "collaborative filtering"
"sodium ion batteries" -- "energy storage"
"microbiology" -- "immunology"
"microbiology" -- "secondary metabolites"
"microbiology" -- "biotechnology"
"microbiology" -- "molecular microbial ecology"
"microbiology" -- "veterinary science"
"microbiology" -- "fermentation technology"
"microbiology" -- "copper"
"microbiology" -- "phage"
"microbiology" -- "antimicrobials"
"microbiology" -- "lipid biochemistry"
"microbiology" -- "quorum sensing"
"microbiology" -- "enzymes"
"microbiology" -- "pathogens"
"microbiology" -- "bacterial physiology"
"microbiology" -- "single cell genomics"
"microbiology" -- "bacteria"
"microbiology" -- "food safety"
"microbiology" -- "bacteriophage"
"microbiology" -- "mycology"
"sovereign wealth funds" -- "institutional investors"
"uav" -- "drones"
"condensed matter physics" -- "theoretical physics"
"condensed matter physics" -- "surface physics"
"condensed matter physics" -- "ultrafast science"
"condensed matter physics" -- "electronic structure calculations"
"condensed matter physics" -- "strongly correlated materials"
"condensed matter physics" -- "arpes"
"condensed matter physics" -- "materials science"
"condensed matter physics" -- "quantum transport"
"condensed matter physics" -- "correlated electron systems"
"socioeconomic status" -- "health disparities"
"dental materials" -- "restorative dentistry"
"dental materials" -- "biomaterials"
"educational sciences" -- "gender"
"computer supported cooperative work" -- "human-computer interaction"
"hydraulics" -- "hydrology"
"herpetology" -- "landscape genomics"
"spine surgery" -- "neurosurgery"
"mathematics education" -- "statistics education"
"mathematics education" -- "educación matemática"
"mathematics education" -- "mathematics teacher education"
"cellulose nanomaterials" -- "advanced functional materials"
"chemometrics" -- "analytical chemistry"
"chemometrics" -- "near infrared spectroscopy"
"model order reduction" -- "optimal control"
"sostenibilitat" -- "arquitectura"
"econophysics" -- "sociophysics"
"econophysics" -- "complex systems"
"protein biochemistry" -- "cell physiology"
"molecules" -- "ultracold atoms"
"isolation" -- "fault detection"
"image analysis" -- "computer vision"
"image analysis" -- "physiological modelling"
"aphasia" -- "speech-language pathology"
"ultracold quantum gases" -- "quantum optics"
"decision theory" -- "rationality"
"decision theory" -- "game theory"
"ultrasound" -- "medical imaging"
"ultrasound" -- "photoacoustics"
"ultrasound" -- "microbubbles"
"ultrasound" -- "hifu"
"volcanic ash" -- "physical volcanology"
"bioprinting" -- "biomaterials"
"economic demography" -- "labor economics"
"multiple myeloma" -- "lymphoma"
"cytochrome p450" -- "drug metabolism"
"neuropsicologia" -- "neuroscienze"
"environmental hydrology" -- "water"
"art history" -- "contemporary art"
"art history" -- "cold war"
"bio-inspired systems" -- "intelligent structures"
"political ecology" -- "political economy"
"political ecology" -- "economic anthropology"
"political ecology" -- "socio-ecological systems"
"ic design" -- "rf"
"multimedia systems" -- "computer vision"
"swarm robotics" -- "swarm intelligence"
"cavity optomechanics" -- "quantum optics"
"optical fiber communications" -- "photonics"
"optical fiber communications" -- "radio over fiber"
"human dimensions of natural resources" -- "climate change"
"health workforce" -- "public health"
"communication" -- "information"
"communication" -- "risk perception"
"variability" -- "climate change"
"quantum chromodynamics" -- "particle physics"
"medical anthropology" -- "global mental health"
"medical anthropology" -- "global health"
"palliative care" -- "end of life care"
"palliative care" -- "dying"
"palliative care" -- "psychosocial oncology"
"supercritical fluids" -- "biofuels"
"resonators" -- "mems"
"biophysics" -- "statistical mechanics"
"biophysics" -- "soft matter"
"biophysics" -- "calorimetry"
"biophysics" -- "nuclear magnetic resonance"
"biophysics" -- "soft condensed matter physics"
"biophysics" -- "non-equilibrium statistical physics"
"biophysics" -- "atomic force microscopy"
"biophysics" -- "dna-protein interactions"
"biophysics" -- "membrane transport"
"biophysics" -- "molecular motors"
"biophysics" -- "cell motility"
"biophysics" -- "single molecule microscopy"
"biophysics" -- "protein folding"
"biophysics" -- "super-resolution microscopy"
"biophysics" -- "polymer physics"
"biophysics" -- "molecular dynamics simulation"
"biophysics" -- "fluorescence spectroscopy"
"biophysics" -- "single molecule"
"autonomic computing" -- "cloud computing"
"entertainment computing" -- "human-computer interaction"
"endocrinologia" -- "medicina"
"labor markets" -- "gender inequality"
"seismotectonics" -- "structural geology"
"eletrônica de potência" -- "engenharia elétrica"
"eletrônica de potência" -- "power electronics"
"inquiry" -- "undergraduate research"
"personal informatics" -- "human-computer interaction"
"porous silicon" -- "nanomedicine"
"ncrna" -- "bioinformatics"
"finite element method" -- "multigrid"
"national security" -- "international relations"
"normative ethics" -- "political philosophy"
"interaction" -- "augmented reality"
"radon" -- "physics education research"
"drinking water treatment" -- "disinfection by-products"
"videojuegos" -- "educación"
"biomaterials" -- "silk"
"biomaterials" -- "bioengineering"
"biomaterials" -- "cardiac tissue engineering"
"biomaterials" -- "biomineralization"
"biomaterials" -- "bone tissue engineering"
"biomaterials" -- "scaffold"
"biomaterials" -- "molecular biotechnology"
"biomaterials" -- "3d cell culture"
"biomaterials" -- "drug delivery systems"
"biomaterials" -- "surface modification"
"biomaterials" -- "self-assembly"
"biomaterials" -- "bioceramics"
"biomaterials" -- "extracellular matrix"
"hydraulic engineering" -- "coastal engineering"
"internet research" -- "youth culture"
"hepatology" -- "liver transplantation"
"conservation policy" -- "land use change"
"x-ray optics" -- "laser particle acceleration"
"comparative endocrinology" -- "neurobiology"
"cancer metastasis" -- "microfluidics"
"agent-based modeling" -- "complex adaptive systems"
"spermatogenesis" -- "reproductive biology"
"pk" -- "pd"
"corrosion" -- "coatings"
"corrosion" -- "metal matrix composites"
"corrosion" -- "hydrogen embrittlement"
"network science" -- "human dynamics"
"network science" -- "complex systems"
"xps" -- "sims"
"urban systems" -- "hydrology"
"global change ecology" -- "biogeochemistry"
"household" -- "labor"
"choice" -- "decision making"
"microtechnology" -- "nanotechnology"
"construction project management" -- "sustainability"
"mems sensor" -- "microfabrication"
"historia antigua" -- "historia medieval"
"grid" -- "cloud computing"
"scienze della terra" -- "vulcanologia"
"etik" -- "rehberlik"
"etik" -- "örgütsel davranış"
"social dynamics" -- "complex systems"
"viral hepatitis" -- "public health"
"art perception" -- "spatial vision"
"music education" -- "educación musical"
"drug design" -- "discovery"
"drug design" -- "medicinal chemistry"
"engineering geology" -- "rock mechanics"
"exposure assessment" -- "bioaerosols"
"exposure assessment" -- "indoor air quality"
"drosophila" -- "genetics"
"international relations" -- "global health governance"
"international relations" -- "institutional design"
"international relations" -- "foreign policy"
"international relations" -- "chinese foreign policy"
"international relations" -- "political methodology"
"international relations" -- "international conflict"
"international relations" -- "foreign aid"
"international relations" -- "terrorism"
"international relations" -- "international security"
"international relations" -- "us foreign policy"
"international relations" -- "korea"
"international relations" -- "international institutions"
"international relations" -- "chinese studies"
"international relations" -- "relaciones internacionales"
"international relations" -- "japan"
"international relations" -- "war"
"international relations" -- "civil conflict"
"international relations" -- "conflict resolution"
"international relations" -- "human rights"
"enlightenment" -- "intellectual history"
"topografia" -- "rilievo"
"thermoelectric materials" -- "materials science"
"analyse" -- "logistik"
"organic synthesis" -- "medicinal chemistry"
"free-space optical communications" -- "optical communications"
"wearable electronics" -- "stretchable electronics"
"reconfigurable systems" -- "fpgas"
"mathematical biology" -- "biomathematics"
"international hrm" -- "cross-cultural management"
"luminescent materials" -- "materials science"
"operations research" -- "discrete optimization"
"operations research" -- "queueing"
"operations research" -- "fuzzy set theory"
"operations research" -- "simulation optimization"
"operations research" -- "decision analysis"
"operations research" -- "reliability engineering"
"operations research" -- "mathematical programming"
"operations research" -- "air traffic management"
"operations research" -- "air transportation"
"operations research" -- "markov chains"
"operations research" -- "robust optimization"
"operations research" -- "multiple criteria decision making"
"operations research" -- "combinatorial optimisation"
"biotechnology" -- "biofuels"
"biotechnology" -- "downstream processing"
"contraception" -- "reproductive health"
"nonlinear dynamics" -- "chaos"
"nonlinear dynamics" -- "complex systems"
"hypothermia" -- "resuscitation"
"aac" -- "augmentative"
"embedded system design" -- "computer vision"
"life satisfaction" -- "happiness"
"international human resource management" -- "human resource management"
"chemoprevention" -- "carcinogenesis"
"syria" -- "middle east"
"borderline personality disorder" -- "dialectical behavior therapy"
"induction" -- "epistemology"
"urban policy" -- "urban planning"
"higher education policy" -- "practice"
"sociological theory" -- "political sociology"
"environmental communication" -- "science communication"
"household economics" -- "household finance"
"media industries" -- "new media"
"lengua española" -- "lingüística"
"urban poverty" -- "social policy"
"ptsd" -- "traumatic stress"
"neurodegeneration" -- "programmed cell death"
"lie groups" -- "representation theory"
"self-assembled monolayers" -- "scanning tunneling microscopy"
"pulmonology" -- "pediatrics"
"biomedicina" -- "óptica"
"fault tolerant control" -- "fault detection"
"fault tolerant control" -- "fault diagnosis"
"skin biology" -- "cancer biology"
"unsaturated soil mechanics" -- "geotechnical engineering"
"hybrid vehicles" -- "internal combustion engines"
"hybrid vehicles" -- "automotive control"
"electromagnetic fields" -- "microwave"
"photonics" -- "semiconductor lasers"
"photonics" -- "laser technology"
"photonics" -- "terahertz technology"
"photonics" -- "optical fibres"
"photonics" -- "optical communications"
"photonics" -- "optics"
"photonics" -- "optical switching"
"trace elements" -- "analytical chemistry"
"tourism marketing" -- "consumer behaviour"
"environmental criminology" -- "crime prevention"
"environmental criminology" -- "crime science"
"colon cancer" -- "inflammatory bowel disease"
"ovary" -- "reproductive biology"
"formación del profesorado" -- "educación"
"dynamic networks" -- "complex systems"
"functional connectivity" -- "fmri"
"land use change" -- "climate change"
"noise control" -- "acoustics"
"chromatin structure" -- "bioinformatics"
"comparative philosophy" -- "ethics"
"information retrieval" -- "semantic search"
"information retrieval" -- "lifelogging"
"information retrieval" -- "search"
"sustainable energy" -- "environment"
"object perception" -- "visual attention"
"computational geomechanics" -- "geotechnical engineering"
"biodiversity" -- "climate change ecology"
"biodiversity" -- "arctic ecology"
"biodiversity" -- "sustainable forest management"
"biodiversity" -- "ecosystem functioning"
"experimental physics" -- "materials science"
"stem cell transplantation" -- "hematologic malignancies"
"chaos" -- "bifurcation"
"fear of crime" -- "crime"
"plant ecology" -- "community assembly"
"neurons" -- "astrocytes"
"energy optimization" -- "wireless sensor networks"
"geotechnical engineering" -- "pavement design"
"geotechnical engineering" -- "unsaturated soils"
"geotechnical engineering" -- "geomechanics"
"geotechnical engineering" -- "offshore engineering"
"geotechnical engineering" -- "rock mechanics"
"internet technologies" -- "distributed systems"
"dental implants" -- "saliva"
"pediatria" -- "medicina"
"atlantic history" -- "slavery"
"multiscale modeling" -- "crystal plasticity"
"epistemology" -- "metaphysics"
"epistemology" -- "metaphilosophy"
"heat transfer enhancement" -- "micro"
"mobile cloud" -- "cloud computing"
"arctic" -- "climate change"
"engagement" -- "motivation"
"vehicular ad hoc networks" -- "wireless sensor networks"
"alternative energy" -- "materials science"
"seismic interpretation" -- "structural geology"
"shear" -- "bond"
"shear" -- "reinforced concrete"
"process control" -- "crystallization"
"process control" -- "pid control"
"stable isotope analysis" -- "biological anthropology"
"sedimentology" -- "stratigraphy"
"sedimentology" -- "gpr"
"sedimentology" -- "sequence stratigraphy"
"sedimentology" -- "coastal geology"
"sedimentology" -- "marine geology"
"biophotonics" -- "optics"
"biophotonics" -- "biomedical optics"
"biophotonics" -- "multiphoton microscopy"
"greenhouse gas" -- "wetlands"
"yeast" -- "genetics"
"wear" -- "tribology"
"crop science" -- "agronomy"
"wheat" -- "genetics"
"wheat" -- "barley"
"universal design" -- "accessibility"
"soil organic matter" -- "biogeochemistry"
"mobile social networks" -- "privacy"
"quantum photonics" -- "quantum optics"
"ethnic identity" -- "racial"
"small mammals" -- "paleontology"
"phytohormones" -- "plant development"
"therapeutics" -- "cancer biology"
"relay" -- "wireless communications"
"lca" -- "energy"
"ostracism" -- "social exclusion"
"power amplifiers" -- "rf"
"new literacies" -- "digital literacy"
"new literacies" -- "disciplinary literacy"
"new literacies" -- "adolescent literacy"
"experimental psychopathology" -- "clinical psychology"
"genome informatics" -- "bioinformatics"
"vaccine development" -- "immunology"
"fatty acids" -- "nutrition"
"quality" -- "patient safety"
"quality" -- "disparities"
"quality" -- "safety"
"quality" -- "meat production"
"library assessment" -- "library administration"
"quantum plasmonics" -- "quantum optics"
"ferroelectrics" -- "dielectrics"
"coal" -- "energy"
"hydrology" -- "flood forecasting"
"hydrology" -- "water resources engineering"
"hydrology" -- "agricultural water management"
"hydrology" -- "climate change"
"hydrology" -- "hydrometeorology"
"hydrology" -- "fluvial geomorphology"
"hydrology" -- "peatlands"
"hydrology" -- "contaminant transport"
"hydrology" -- "watershed modeling"
"hydrology" -- "climate change impacts"
"hydrology" -- "erosion"
"hydrology" -- "flood modelling"
"school libraries" -- "educational technology"
"audiovisual" -- "cine"
"emergency medicine" -- "medical education"
"emergency medicine" -- "disaster medicine"
"surgical education" -- "surgery"
"essential oils" -- "natural products"
"acupuncture" -- "chinese medicine"
"perovskite solar cells" -- "organic solar cells"
"political philosophy" -- "ethics"
"sorption" -- "natural organic matter"
"tobacco control" -- "public health"
"jamming" -- "glass transition"
"bioprocessing" -- "biofuels"
"forensic toxicology" -- "analytical chemistry"
"chimica" -- "biologia"
"visual cognition" -- "attention"
"chinese history" -- "historical demography"
"hpb surgery" -- "liver transplantation"
"evaluation" -- "performance improvement"
"dying" -- "death"
"eco-innovation" -- "climate change"
"clinical genomics" -- "bioinformatics"
"commons" -- "institutions"
"molecular diagnostics" -- "infectious diseases"
"infectious diseases" -- "immunology"
"infectious diseases" -- "tropical medicine"
"infectious diseases" -- "mrsa"
"infectious diseases" -- "streptococcus pneumoniae"
"infectious diseases" -- "infection control"
"infectious diseases" -- "pediatrics"
"energy" -- "natural gas"
"energy" -- "climate policy"
"energy" -- "building science"
"energy" -- "nuclear power"
"energy" -- "sustainability"
"energy" -- "buildings"
"energy" -- "power plants"
"energy" -- "gas"
"energy" -- "energy systems modeling"
"energy" -- "strategic planning"
"energy" -- "co2"
"energy" -- "resources"
"energy" -- "energy informatics"
"energy" -- "flow through porous media"
"energy" -- "environment"
"energy" -- "ccs"
"energy" -- "hvac"
"tort law" -- "contract law"
"database theory" -- "logic in computer science"
"database theory" -- "databases"
"neural prosthetics" -- "neural engineering"
"latin america" -- "mexico"
"latin america" -- "comparative politics"
"latin america" -- "caribbean"
"teoria literária" -- "literatura brasileira"
"mitochondria" -- "reactive oxygen species"
"mitochondria" -- "calcium"
"mitochondria" -- "mitochondrial disease"
"algebraic geometry" -- "number theory"
"algebraic geometry" -- "representation theory"
"second language learning" -- "bilingualism"
"granular matter" -- "soft matter"
"early christianity" -- "late antiquity"
"investigación" -- "educación"
"ensino de ciências" -- "formação de professores"
"legal theory" -- "rule of law"
"public relations" -- "crisis communication"
"public relations" -- "public affairs"
"public relations" -- "corporate communication"
"endothelial function" -- "arterial stiffness"
"systems immunology" -- "bioinformatics"
"teamwork" -- "patient safety"
"social cognition" -- "person perception"
"social cognition" -- "joint action"
"social cognition" -- "self-concept"
"social cognition" -- "ownership"
"social cognition" -- "developmental psychology"
"social cognition" -- "social psychology"
"na-ion batteries" -- "li-ion batteries"
"network medicine" -- "bioinformatics"
"thin film technology" -- "materials science"
"digital fabrication" -- "architecture"
"adaptation" -- "climate change"
"multinationals" -- "international trade"
"environmental philosophy" -- "philosophy of science"
"appraisal" -- "emotion"
"plant immunity" -- "plant-microbe interactions"
"personalidad" -- "neurociencia"
"social work" -- "mental health"
"social work" -- "social work education"
"retinal disease" -- "ophthalmology"
"lithium batteries" -- "nanomaterials"
"synthetic chemistry" -- "medicinal chemistry"
"probabilidad" -- "estadística"
"ottoman history" -- "diplomatic history"
"body area networks" -- "wireless sensor networks"
"image enhancement" -- "computer vision"
"work-life balance" -- "mentoring"
"micro" -- "nanofluidics"
"micro" -- "phase change heat transfer"
"digital soil mapping" -- "pedometrics"
"digital soil mapping" -- "soil science"
"paleogeography" -- "paleomagnetism"
"herbal medicine" -- "pharmacology"
"herbal medicine" -- "traditional medicine"
"sex differences" -- "stress"
"image-guided interventions" -- "medical imaging"
"storia moderna" -- "storia economica"
"panel data" -- "econometrics"
"historia de la educación" -- "educación comparada"
"soil science" -- "pedology"
"soil science" -- "agronomy"
"medical visualization" -- "computer graphics"
"antarctica" -- "glaciology"
"antarctica" -- "greenland"
"auditory neuroscience" -- "computational neuroscience"
"reformation" -- "renaissance"
"nanogenerator" -- "energy harvesting"
"plant genomics" -- "bioinformatics"
"myocardial infarction" -- "heart failure"
"atomic" -- "molecular"
"atomic" -- "optical physics"
"atomic" -- "ultrafast electron diffraction"
"computer security" -- "cryptographic protocols"
"dietetics" -- "nutrition"
"consciousness" -- "attention"
"adsorption" -- "activated carbon"
"discursive psychology" -- "social psychology"
"automata" -- "logic"
"crime" -- "community"
"crime" -- "delinquency"
"crime" -- "criminology"
"crime" -- "drug policy"
"cytoskeleton" -- "motor"
"sound" -- "music computing"
"structural equation modeling" -- "psychometrics"
"structural equation modeling" -- "multilevel modeling"
"porifera" -- "zoology"
"digital art" -- "digital media"
"analytical chemistry" -- "bioanalysis"
"analytical chemistry" -- "clinical chemistry"
"analytical chemistry" -- "environmental analysis"
"analytical chemistry" -- "chemical oceanography"
"analytical chemistry" -- "gas chromatography"
"analytical chemistry" -- "method development"
"analytical chemistry" -- "forensic chemistry"
"analytical chemistry" -- "chromatography"
"water law" -- "environmental law"
"palaeontology" -- "palaeoecology"
"data standards" -- "ontologies"
"crystal plasticity" -- "texture"
"seismic anisotropy" -- "seismology"
"fine art" -- "art"
"capabilities" -- "innovation management"
"water" -- "soil"
"estatística" -- "epidemiologia"
"plant breeding" -- "genetics"
"plant breeding" -- "plant genetics"
"dispute resolution" -- "contracts"
"ecosystem modeling" -- "biogeochemistry"
"indigenous knowledge" -- "decolonization"
"biomedical optics" -- "fluorescence imaging"
"home" -- "housing"
"participatory research" -- "landscape ecology"
"gravitational lensing" -- "cosmology"
"wireless sensing" -- "energy harvesting"
"north africa" -- "middle east"
"lean management" -- "systems engineering"
"materials engineering" -- "nanotechnology"
"opioids" -- "pain"
"knowledge exchange" -- "mental health"
"international management" -- "international business"
"international management" -- "international strategy"
"nanofluidics" -- "ferrofluids"
"nanofluidics" -- "microfluidics"
"nanofluidics" -- "thermal energy storage"
"african american" -- "health disparities"
"solid state lighting" -- "nanotechnology"
"molecular pharmacology" -- "cancer biology"
"sla" -- "clil"
"optical mems" -- "microfluidics"
"comparative education" -- "education policy"
"professions" -- "occupational"
"ms" -- "lc"
"ms" -- "lc-ms"
"microelectromechanical systems" -- "mems"
"sexual orientation" -- "gender"
"media education" -- "media literacy"
"natural hazards" -- "landslides"
"ecosystem ecology" -- "plant physiological ecology"
"ecosystem ecology" -- "biogeochemistry"
"information ethics" -- "information science"
"information ethics" -- "philosophy of information"
"dinosaurs" -- "paleontology"
"ergonomics" -- "muscle fatigue"
"alzheimer s disease" -- "mild cognitive impairment"
"microfabrication" -- "mems"
"risk analysis" -- "decision analysis"
"tobacco" -- "public health"
"symplectic geometry" -- "differential geometry"
"myanmar" -- "thailand"
"microwave" -- "rf"
"enhancement" -- "transcriptional regulation"
"copy number variation" -- "genetics"
"dna computing" -- "synthetic biology"
"networked learning" -- "educational technology"
"knowledge organization" -- "information science"
"fluvial geomorphology" -- "river management"
"regulatory t cells" -- "immunology"
"kaemart" -- "triz"
"kaemart" -- "augmented reality"
"robot perception" -- "computer vision"
"measurement techniques" -- "heat transfer"
"building energy" -- "hvac"
"prognostics" -- "phm"
"carbon capture" -- "storage"
"carbon capture" -- "sequestration"
"biological anthropology" -- "human biology"
"biological anthropology" -- "bioarchaeology"
"functional analysis" -- "harmonic analysis"
"functional analysis" -- "boundary value problems"
"functional analysis" -- "mathematical analysis"
"functional analysis" -- "several complex variables"
"functional analysis" -- "measure theory"
"functional analysis" -- "wavelet analysis"
"energy efficient computing" -- "high performance computing"
"stereotype threat" -- "social psychology"
"ontologies" -- "semantic web"
"geomechanics" -- "induced seismicity"
"social practices" -- "sustainable consumption"
"isu-vdpam" -- "swine"
"wound healing" -- "burn"
"educación" -- "orientación"
"educación" -- "tic"
"educación" -- "historia"
"educación" -- "familia"
"educación" -- "school effectiveness"
"educación" -- "creatividad"
"climate modeling" -- "climate change"
"serious games" -- "gamification"
"serious games" -- "human-computer interaction"
"mathematical economics" -- "game theory"
"poverty" -- "social exclusion"
"poverty" -- "social protection"
"poverty" -- "social policy"
"poverty" -- "child well-being"
"inclusion" -- "diversity"
"monoclonal antibodies" -- "immunology"
"dependable systems" -- "distributed systems"
"reversible logic" -- "logic synthesis"
"retinopathy of prematurity" -- "ophthalmology"
"fungal genomics" -- "bioinformatics"
"rock mechanics" -- "earthquake physics"
"rock mechanics" -- "drilling"
"rock mechanics" -- "shale gas"
"immuno-oncology" -- "immunology"
"plant defense" -- "plant-insect interactions"
"co2 sequestration" -- "multiphase flow in porous media"
"co2 sequestration" -- "flow in porous media"
"architectural history" -- "architecture"
"educação matemática" -- "formação de professores"
"caribbean literature" -- "latin american literature"
"type theory" -- "programming languages"
"movpe" -- "mocvd"
"energy harvesting" -- "mems"
"photonic integrated circuits" -- "optical communications"
"mental illness" -- "mental health"
"invasive species" -- "weeds"
"journalism" -- "mass communication"
"journalism" -- "online journalism"
"journalism" -- "broadcasting"
"journalism" -- "periodismo"
"nitric oxide" -- "nitrite"
"construction materials" -- "concrete"
"bootstrap" -- "time series"
"carbon storage" -- "contaminant transport"
"ngs data analysis" -- "bioinformatics"
"nanobiology" -- "nanomedicine"
"child development" -- "early childhood education"
"child development" -- "family relations"
"fire science" -- "heat transfer"
"coping" -- "stress"
"work integrated learning" -- "experiential learning"
"degradation" -- "protein folding"
"materiais" -- "engenharia química"
"laboratory phonology" -- "phonetics"
"hypnosis" -- "pain"
"life cycle assessment (lca)" -- "sustainability"
"embodied interaction" -- "human-computer interaction"
"life cycle assessment" -- "sustainability"
"life cycle assessment" -- "waste management"
"age-related macular degeneration" -- "ophthalmology"
"literatura latinoamericana" -- "literatura española"
"diversity management" -- "human resource management"
"psychopathy" -- "personality"
"operations strategy" -- "operations management"
"auxin" -- "arabidopsis"
"contract theory" -- "game theory"
"video analysis" -- "computer vision"
"cell death" -- "autophagy"
"pavimentos" -- "transportation"
"childhood studies" -- "young adult literature"
"qualitative research methodology" -- "reproductive health"
"first principles" -- "materials science"
"linked open data" -- "semantic web"
"nuclear medicine" -- "molecular imaging"
"resilience" -- "sustainability"
"resilience" -- "vulnerability"
"resilience" -- "recovery"
"urban climate" -- "urban heat island"
"creep" -- "fatigue"
"borders" -- "territory"
"online learning" -- "distance education"
"online learning" -- "educational technology"
"labour" -- "gender"
"mobile computing" -- "ubiquitous"
"mobile computing" -- "pervasive computing"
"mobile computing" -- "future internet"
"human rights" -- "peace education"
"human rights" -- "comparative constitutional law"
"human rights" -- "international social work"
"human rights" -- "forced migration"
"rna-seq" -- "bioinformatics"
"dss" -- "erp"
"biogeochemistry" -- "organic geochemistry"
"biogeochemistry" -- "methane"
"biogeochemistry" -- "geomicrobiology"
"biogeochemistry" -- "soil ecology"
"biogeochemistry" -- "stable isotopes"
"biogeochemistry" -- "mercury"
"biogeochemistry" -- "wetlands"
"biogeochemistry" -- "nutrient cycling"
"biogeochemistry" -- "soil microbial ecology"
"multi-agent systems" -- "cooperative control"
"quantum electronics" -- "optics"
"behavioral endocrinology" -- "animal behavior"
"graph databases" -- "distributed systems"
"oral" -- "maxillofacial surgery"
"coastal" -- "environmental remote sensing"
"control theory" -- "space exploration"
"control theory" -- "feedback control"
"control theory" -- "applications"
"control theory" -- "switched systems"
"control theory" -- "systems theory"
"control theory" -- "dynamical systems theory"
"molecular imaging" -- "nanomedicine"
"molecular imaging" -- "contrast agents"
"management education" -- "strategy"
"system integration" -- "nanotechnology"
"redes" -- "sistemas complejos"
"redes" -- "mineração de dados"
"ingeniería química" -- "chemical engineering"
"sexual harassment" -- "gender"
"contact mechanics" -- "tribology"
"pose estimation" -- "computer vision"
"bioorganic chemistry" -- "chemical biology"
"theoretical biophysics" -- "statistical mechanics"
"cognitive modeling" -- "mathematical psychology"
"interactive narrative" -- "hypertext"
"knowledge work" -- "productivity"
"green roofs" -- "plant water relations"
"urban ecology" -- "landscape ecology"
"religion" -- "buddhism"
"religion" -- "religious studies"
"religion" -- "politics"
"religion" -- "state"
"religion" -- "sociology of religion"
"anisotropy" -- "texture"
"urban planning" -- "urban design"
"urban planning" -- "urbanistica"
"urban planning" -- "city planning"
"urban planning" -- "landscape planning"
"urban planning" -- "spatial planning"
"urban planning" -- "housing markets"
"urban planning" -- "housing"
"urban planning" -- "public participation"
"colon" -- "surgery"
"contracts" -- "commercial law"
"large scale structure" -- "cosmology"
"goals" -- "motivation"
"imitation" -- "mirror neurons"
"data provenance" -- "databases"
"near surface geophysics" -- "hydrogeophysics"
"birth defects" -- "epidemiology"
"biomarker discovery" -- "proteomics"
"theory of computation" -- "algorithms"
"steel" -- "composite structures"
"steel" -- "metallurgy"
"supramolecular" -- "materials chemistry"
"new institutional economics" -- "political economy"
"children s mental health" -- "juvenile justice"
"displays" -- "optics"
"matrix metalloproteinases" -- "matrix biology"
"workflow management" -- "cloud computing"
"pathogen interactions" -- "adaptive evolution"
"energy devices" -- "nanomaterials"
"waste valorization" -- "metallic materials"
"waste valorization" -- "metals recycling"
"bioenergy" -- "biofuels"
"object tracking" -- "computer vision"
"visual optics" -- "optics"
"theology" -- "philosophy"
"multimodality" -- "discourse analysis"
"formal semantics" -- "pragmatics"
"animal models" -- "veterinary pathology"
"neurologia" -- "neuroscienze"
"computer graphics" -- "virtual reality"
"computer graphics" -- "scientific visualization"
"computer graphics" -- "crowd simulation"
"computer graphics" -- "animation"
"computer graphics" -- "computer animation"
"computer graphics" -- "geometry processing"
"computer graphics" -- "discrete differential geometry"
"computer graphics" -- "computer vision"
"computer graphics" -- "visual computing"
"computer graphics" -- "rendering"
"computer graphics" -- "physically-based simulation"
"computer graphics" -- "ray tracing"
"strength" -- "conditioning"
"separation technology" -- "chemical engineering"
"complement" -- "immunology"
"dft" -- "computational catalysis"
"dft" -- "md simulation"
"cryogenics" -- "heat transfer"
"computer simulation" -- "soft matter"
"logística" -- "transportation"
"attention" -- "event-related potentials"
"attention" -- "awareness"
"cosmology" -- "gravity"
"cosmology" -- "dark matter"
"cosmology" -- "clusters of galaxies"
"cosmology" -- "particle physics"
"cosmology" -- "computational astrophysics"
"cosmology" -- "astroparticle physics"
"slow light" -- "photonic crystals"
"data management" -- "data sharing"
"data management" -- "databases"
"genome engineering" -- "synthetic biology"
"microstructural evolution" -- "metal forming"
"clinical psychology" -- "human sexuality"
"clinical psychology" -- "motivational interviewing"
"population health" -- "epidemiology"
"training" -- "vocational education"
"human dimensions" -- "vulnerability"
"bacterial cell biology" -- "cyanobacteria"
"neural prostheses" -- "neural engineering"
"biodiesel" -- "biofuels"
"membranes" -- "biomolecules"
"advertising" -- "marketing communication"
"branching processes" -- "noise analysis"
"latent variable models" -- "psychometrics"
"text analysis" -- "wisdom"
"solar physics" -- "solar flares"
"fiber bragg gratings" -- "sensors"
"language contact" -- "variation"
"instructional technology" -- "instructional design"
"hazard mitigation" -- "climate change"
"desarrollo rural" -- "desarrollo local"
"physical oceanography" -- "coastal oceanography"
"commercial law" -- "derecho mercantil"
"performance management" -- "performance measurement"
"justice" -- "ethics"
"microarray" -- "bioinformatics"
"schizophrenia" -- "bipolar disorder"
"fea" -- "cfd"
"social entrepreneurship" -- "entrepreneurship"
"space" -- "place"
"space" -- "architecture"
"danio rerio" -- "aquaculture nutrition"
"pattern matching" -- "algorithms"
"moral development" -- "developmental psychology"
"institutions" -- "political economy"
"termodinâmica" -- "processos de separação"
"customer experience" -- "service design"
"neutron scattering" -- "pressure"
"neutron scattering" -- "x-ray scattering"
"terrorism" -- "counterinsurgency"
"terrorism" -- "political violence"
