"odontologia" -- "materiais dentários"
"logistics" -- "grounded theory"
"logistics" -- "supply chain management"
"logistics" -- "transportation"
"logistics" -- "lean production"
"logistics" -- "warehousing"
"logistics" -- "freight transportation"
"logistics" -- "scm"
"logistics" -- "facility location"
"logistics" -- "freight"
"logistics" -- "supply chain"
"logistics" -- "material handling"
"political theory" -- "democracy"
"political theory" -- "democratic theory"
"political theory" -- "turkish politics"
"political theory" -- "history of political thought"
"political theory" -- "liberalism"
"political theory" -- "political philosophy"
"judicial politics" -- "american politics"
"judicial politics" -- "constitutionalism"
"object" -- "face recognition"
"organic matter" -- "nutrient cycling"
"statistical process control" -- "quality control"
"drug delivery" -- "drug targeting"
"drug delivery" -- "pharmaceutics"
"drug delivery" -- "targeting"
"drug delivery" -- "brain cancer"
"drug delivery" -- "nanotechnology"
"drug delivery" -- "pharmaceutical technology"
"drug delivery" -- "implants"
"drug delivery" -- "inhalation"
"drug delivery" -- "cancer therapy"
"drug delivery" -- "microencapsulation"
"drug delivery" -- "mesenchymal stromal cells"
"drug delivery" -- "dendrimers"
"drug delivery" -- "nanobiomaterials"
"drug delivery" -- "nanoengineering"
"drug delivery" -- "pharmaceutical sciences"
"drug delivery" -- "solubility"
"drug delivery" -- "responsive materials"
"drug delivery" -- "polyelectrolytes"
"drug delivery" -- "formulation"
"drug delivery" -- "blood-brain barrier"
"drug delivery" -- "nanomedicine"
"drug delivery" -- "nanoparticles"
"drug delivery" -- "biomaterials"
"drug delivery" -- "cancer treatment"
"drug delivery" -- "molecular imprinting"
"drug delivery" -- "gene"
"drug delivery" -- "bioconjugation"
"drug delivery" -- "enzyme immobilization"
"drug delivery" -- "photodynamic therapy"
"drug delivery" -- "microfludics"
"drug delivery" -- "polymeric biomaterials"
"drug delivery" -- "cyclodextrins"
"drug delivery" -- "supramolecular self-assembly"
"seagrass ecology" -- "marine ecology"
"sarcoma" -- "surgery"
"advanced ceramics" -- "nanomaterials"
"climate change policy" -- "energy policy"
"impact dynamics" -- "computational mechanics"
"impact dynamics" -- "shock physics"
"european history" -- "history of science"
"engineering education" -- "science education"
"engineering education" -- "pbl"
"spoken dialog systems" -- "machine learning"
"psychotherapy" -- "clinical psychology"
"psychotherapy" -- "professional ethics"
"psychotherapy" -- "counseling"
"theoretical high energy physics" -- "string theory"
"design" -- "product design"
"design" -- "architecture"
"design" -- "manufacturing"
"design" -- "antenna theory"
"design" -- "ergonomia"
"design" -- "systems analysis"
"design" -- "craft"
"design" -- "innovation"
"design" -- "packaging"
"design" -- "typography"
"design" -- "community planning"
"design" -- "user-centred design"
"design" -- "design management"
"digital culture" -- "social media"
"global climate change" -- "sustainability"
"experimental archaeology" -- "archaeology"
"neuroimaging" -- "independent component analysis"
"neuroimaging" -- "entropy"
"neuroimaging" -- "brain plasticity"
"neuroimaging" -- "brain development"
"neuroimaging" -- "behavioral neurology"
"neuroimaging" -- "neuromodulation"
"neuroimaging" -- "diffusion tensor imaging"
"neuroimaging" -- "affective disorders"
"neuroimaging" -- "brain connectivity"
"neuroimaging" -- "diffusion mri"
"neuroimaging" -- "clinical neuroscience"
"neuroimaging" -- "neurocognition"
"neuroimaging" -- "brain networks"
"neuroimaging" -- "schizophrenia"
"neuroimaging" -- "neuroscience"
"indoor navigation" -- "computer vision"
"neural circuits" -- "neuroscience"
"antiviral" -- "virology"
"antiviral" -- "antibacterial"
"web data management" -- "databases"
"chronic disease epidemiology" -- "prevention"
"dreaming" -- "sleep"
"circadian" -- "sleep"
"t cells" -- "immunology"
"weather" -- "climate"
"magnetic reconnection" -- "plasma physics"
"concrete technology" -- "cement chemistry"
"concrete technology" -- "construction materials"
"concrete technology" -- "concrete durability"
"concrete technology" -- "sustainable construction materials"
"pollination" -- "honey bee"
"pollination" -- "ecology"
"pollination" -- "floral evolution"
"interferon" -- "innate immunity"
"reconfigurable" -- "antennas"
"distributed cognition" -- "cognitive science"
"endophytes" -- "plant-microbe interactions"
"inovação" -- "políticas públicas"
"inovação" -- "empreendedorismo"
"east asian studies" -- "migration"
"affective science" -- "social psychology"
"trademark" -- "copyright"
"cardiac arrhythmias" -- "cardiac electrophysiology"
"impact evaluation" -- "development economics"
"regenerative biology" -- "developmental"
"regenerative biology" -- "stem cells"
"courts" -- "law"
"mixed models" -- "bayesian statistics"
"nanopositioning" -- "robotics"
"materials for energy storage" -- "conversion"
"cultural studies" -- "ecocriticism"
"cultural studies" -- "critical"
"cultural studies" -- "american studies"
"cultural studies" -- "italian studies"
"cultural studies" -- "social semiotics"
"cultural studies" -- "animal studies"
"cultural studies" -- "cinema studies"
"cultural studies" -- "critical race studies"
"cultural studies" -- "performance studies"
"cultural studies" -- "postcolonialism"
"cultural studies" -- "film studies"
"cultural studies" -- "postcolonial studies"
"cultural studies" -- "postmodernism"
"cultural studies" -- "gender studies"
"cultural studies" -- "visual studies"
"cultural studies" -- "postcolonial literature"
"cultural studies" -- "cultural theory"
"cultural studies" -- "critical theory"
"cultural studies" -- "literary studies"
"cultural studies" -- "comparative literature"
"cultural studies" -- "media studies"
"transcriptomics" -- "plant viruses"
"transcriptomics" -- "genomics"
"nuclear cardiology" -- "nuclear medicine"
"computational biology" -- "unconventional computing"
"computational biology" -- "combinatorial algorithms"
"computational biology" -- "chemotaxis"
"computational biology" -- "structural bioinformatics"
"computational biology" -- "human molecular genetics"
"computational biology" -- "biological networks"
"computational biology" -- "regulatory genomics"
"computational biology" -- "computational medicine"
"computational biology" -- "biological modeling"
"computational biology" -- "human population genetics"
"computational biology" -- "reproducible research"
"computational biology" -- "bioinformatics"
"computational biology" -- "computational quantum chemistry"
"computational biology" -- "biology of aging"
"computational biology" -- "docking"
"computational biology" -- "transcriptional regulation"
"stem" -- "tem"
"stem" -- "gender"
"stem" -- "eels"
"software visualization" -- "software engineering"
"social demography" -- "family"
"social demography" -- "sociology of families"
"cognitive neurology" -- "dementia"
"groundwater" -- "surface water"
"groundwater" -- "soil remediation"
"groundwater" -- "hydrogeology"
"phase transformation" -- "phase field"
"phase transformation" -- "materials science"
"workload characterization" -- "computer architecture"
"earnings quality" -- "corporate governance"
"animal personality" -- "behavioural ecology"
"nutrigenetics" -- "nutrigenomics"
"cognitive control" -- "attention"
"cognitive control" -- "performance monitoring"
"cognitive control" -- "inhibition"
"cognitive control" -- "prefrontal cortex"
"economic policy" -- "economics"
"employment relations" -- "human resource management"
"employment relations" -- "trade unions"
"employment relations" -- "sociology of work"
"employment relations" -- "hrm"
"photopolymerization" -- "polymer chemistry"
"computer networks" -- "software defined networking"
"computer networks" -- "distributed systems"
"computer networks" -- "routing"
"computer networks" -- "computer communications"
"computer networks" -- "network measurement"
"computer networks" -- "wireless networks"
"computer networks" -- "performance evaluation"
"computer networks" -- "network resilience"
"computer networks" -- "information-centric networking"
"computer networks" -- "network virtualization"
"computer networks" -- "future internet architecture"
"computer networks" -- "network management"
"computer networks" -- "network monitoring"
"computer networks" -- "flamingo project"
"computer networks" -- "network security"
"colitis" -- "mucosal immunology"
"sampling" -- "statistics"
"transparent electrodes" -- "organizations"
"metabolism" -- "cholesterol"
"metabolism" -- "nuclear receptors"
"metabolism" -- "skeletal muscle"
"metabolism" -- "mitochondrial physiology"
"metabolism" -- "mitochondrial biology"
"metabolism" -- "mitochondria"
"metabolism" -- "endocrine"
"metabolism" -- "diabetes"
"electrophysiology" -- "cardiology"
"electrophysiology" -- "neocortex"
"electrophysiology" -- "neuroscience"
"social signal processing" -- "affective computing"
"lbs" -- "gis"
"energy markets" -- "energy economics"
"trust" -- "reputation"
"trust" -- "privacy"
"trust" -- "reputation systems"
"microwave imaging" -- "electromagnetics"
"sociology of culture" -- "economic sociology"
"lte" -- "wireless communications"
"lte" -- "m2m"
"x-ray diffraction" -- "crystallography"
"immigrant health" -- "health policy"
"virtual learning environments" -- "ict in education"
"art theory" -- "visual arts"
"critical care medicine" -- "pulmonary medicine"
"critical care medicine" -- "pulmonary"
"water treatment" -- "disinfection by-products"
"water treatment" -- "membrane processes"
"water treatment" -- "water chemistry"
"water treatment" -- "emerging contaminants"
"water treatment" -- "advanced oxidation"
"water treatment" -- "fouling"
"water treatment" -- "disinfection"
"water treatment" -- "membrane separation"
"water treatment" -- "natural organic matter"
"water treatment" -- "capacitive deionization"
"water treatment" -- "membrane filtration"
"water treatment" -- "ion exchange"
"water treatment" -- "environmental engineering"
"water treatment" -- "desalination"
"water treatment" -- "advanced oxidation processes"
"galaxies" -- "astrophysics"
"biological imaging" -- "nanotechnology"
"molecular microbiology" -- "bioinformatics"
"molecular microbiology" -- "mobile genetic elements"
"actin" -- "myosin"
"actin" -- "cytoskeleton"
"lipid metabolism" -- "diabetes"
"sensory systems" -- "computational neuroscience"
"occupational biomechanics" -- "ergonomics"
"bioanalytical chemistry" -- "mass spectrometry"
"k-theory" -- "operator algebras"
"deep foundations" -- "geotechnical engineering"
"ocean waves" -- "coastal engineering"
"complex event processing" -- "data mining"
"d2d" -- "wsn"
"heat treatment" -- "corrosion"
"human-robot interaction" -- "social robotics"
"human-robot interaction" -- "robotics"
"inorganic chemistry" -- "materials chemistry"
"inorganic chemistry" -- "main group chemistry"
"inorganic chemistry" -- "applied chemistry"
"inorganic chemistry" -- "coordination chemistry"
"inorganic chemistry" -- "molecular materials"
"inorganic chemistry" -- "catalysis"
"inorganic chemistry" -- "bioinorganic chemistry"
"imaging genetics" -- "fmri"
"native american" -- "indigenous studies"
"environmental biology" -- "ecology"
"algal biofuels" -- "carbon metabolism"
"avian biology" -- "ecology"
"design thinking" -- "innovation"
"expectations" -- "perception"
"educació" -- "sostenibilitat"
"bourdieu" -- "social mobility"
"laser physics" -- "nonlinear optics"
"mutation" -- "cancer"
"international education" -- "comparative"
"international education" -- "education"
"pavement engineering" -- "geotechnical engineering"
"geospatial analysis" -- "gis"
"soft matter physics" -- "biophysics"
"food analysis" -- "food chemistry"
"participatory sensing" -- "wireless sensor networks"
"positive youth development" -- "resilience"
"positive youth development" -- "youth mentoring"
"developmental programming" -- "nutrition"
"rapid prototyping" -- "additive manufacturing"
"rapid prototyping" -- "conceptual design"
"analytical sociology" -- "sociological theory"
"http:" -- "physical geography"
"neurotechnology" -- "machine learning"
"cryo-electron microscopy" -- "structural biology"
"option pricing" -- "finance"
"insulin" -- "diabetes"
"decentralization" -- "public economics"
"sub-saharan africa" -- "hiv"
"host" -- "pathogen interactions"
"united states" -- "russia"
"reading development" -- "dyslexia"
"fluidization" -- "multiphase flow"
"fluidization" -- "heat mass transfer"
