"counseling psychology" -- "psychology"
"built environment" -- "health"
"lipids" -- "nutrition"
"health economics" -- "pharmacoeconomics"
"health economics" -- "economic evaluation"
"health economics" -- "labor economics"
"health economics" -- "health policy"
"health economics" -- "health technology assessment"
"health economics" -- "outcomes research"
"health economics" -- "health outcomes"
"intelligent agents" -- "artificial intelligence"
"mixed methods" -- "qualitative"
"music" -- "music psychology"
"music" -- "musicology"
"music" -- "language"
"music" -- "dance"
"music" -- "music education"
"cardiovascular research" -- "stem cells"
"forensics" -- "psychology"
"human mobility" -- "complex networks"
"human mobility" -- "urban computing"
"communication systems" -- "signal processing"
"ultrafast optics" -- "nonlinear optics"
"cancer immunotherapy" -- "immunology"
"ct" -- "pet"
"autism" -- "developmental disabilities"
"autism" -- "adhd"
"autism" -- "applied behavior analysis"
"autism" -- "behavior analysis"
"autism" -- "sensory processing"
"autism" -- "early intervention"
"autism" -- "special education"
"autism" -- "neuroscience"
"sexual assault" -- "intimate partner violence"
"sexual assault" -- "trauma"
"public management" -- "nonprofit management"
"public management" -- "public administration"
"financial engineering" -- "risk management"
"fluids" -- "heat transfer"
"machine vision" -- "artificial intelligence"
"ipm" -- "entomology"
"computational biophysics" -- "computational chemistry"
"software reliability" -- "software engineering"
"collaboration" -- "innovation"
"zoonoses" -- "emerging infectious diseases"
"zoonoses" -- "epidemiology"
"surveillance" -- "privacy"
"biofilms" -- "microbiology"
"action research" -- "professional learning"
"marine microbiology" -- "microbial ecology"
"fiscal policy" -- "macroeconomics"
"plasticity" -- "reconstructive surgery"
"plasticity" -- "neuroscience"
"geoscience" -- "geology"
"knowledge representation" -- "reasoning"
"knowledge representation" -- "description logics"
"knowledge representation" -- "artificial intelligence"
"plant pathology" -- "mycology"
"plant pathology" -- "plant-microbe interactions"
"dendritic cells" -- "immunology"
"electrical machines" -- "power electronics"
"hypoxia" -- "cancer"
"hypoxia" -- "pulmonary hypertension"
"microgrids" -- "power electronics"
"theoretical ecology" -- "community ecology"
"metacognition" -- "memory"
"research evaluation" -- "bibliometrics"
"phenotypic plasticity" -- "evolution"
"nanoscience" -- "nanochemistry"
"nanoscience" -- "molecular electronics"
"behavior" -- "hormones"
"behavior" -- "primates"
"behavior" -- "evolution"
"cognitive radio networks" -- "wireless networks"
"urban politics" -- "public policy"
"probabilistic graphical models" -- "machine learning"
"medicine" -- "biology"
"medicine" -- "medicina"
"medicine" -- "surgery"
"historiography" -- "rhetoric"
"metaphysics" -- "epistemology"
"metaphysics" -- "philosophy of mind"
"metaphysics" -- "philosophy of science"
"metaphysics" -- "philosophy of religion"
"metaphysics" -- "ancient philosophy"
"antibiotics" -- "microbiology"
"paleobotany" -- "evolution"
"nephrology" -- "transplantation"
"development" -- "trade"
"development" -- "globalisation"
"development" -- "labor"
"development" -- "evolution"
"development" -- "growth"
"development" -- "ict4d"
"development" -- "africa"
"space weather" -- "space physics"
"social" -- "personality psychology"
"social" -- "cultural anthropology"
"social" -- "political philosophy"
"structural analysis" -- "earthquake engineering"
"sensor networks" -- "wireless networks"
"astroparticle physics" -- "cosmology"
"astroparticle physics" -- "neutrino physics"
"animal ecology" -- "conservation biology"
"folklore" -- "anthropology"
"activism" -- "social movements"
"web science" -- "semantic web"
"leisure" -- "tourism"
"cinema" -- "film"
"cytokines" -- "immunology"
"spatial econometrics" -- "regional economics"
"polyploidy" -- "genomics"
"química" -- "medicina"
"química" -- "química analítica"
"química" -- "física"
"liposomes" -- "drug delivery"
"insulin resistance" -- "diabetes"
"water quality" -- "hydrology"
"water quality" -- "estuaries"
"water quality" -- "low impact development"
"water quality" -- "nutrient management"
"financial mathematics" -- "statistics"
"environmental justice" -- "climate change"
"host-microbe interactions" -- "microbiology"
"polymer processing" -- "rheology"
"respiratory medicine" -- "asthma"
"geriatrics" -- "gerontology"
"image processing" -- "multimedia security"
"image processing" -- "digital holography"
"image processing" -- "signal"
"image processing" -- "computer vision"
"image processing" -- "inverse problems"
"image processing" -- "video coding"
"image processing" -- "color"
"image processing" -- "biomedical instrumentation"
"image processing" -- "wavelets"
"image processing" -- "watermarking"
"image processing" -- "biomedical imaging"
"image processing" -- "biomedical applications"
"image processing" -- "video compression"
"image processing" -- "steganography"
"image processing" -- "video"
"ecohydrology" -- "hydrology"
"information retrieval" -- "machine learning"
"information retrieval" -- "search"
"information retrieval" -- "digital libraries"
"information retrieval" -- "web search"
"civil war" -- "international relations"
"war" -- "international relations"
"relativity" -- "cosmology"
"mobile sensing" -- "ubiquitous computing"
"cancer imaging" -- "molecular imaging"
"separation science" -- "analytical chemistry"
"financial" -- "political economy"
"molecular oncology" -- "pathology"
"homogenization" -- "heterogeneous catalysis"
"molecular cell biology" -- "biochemistry"
"pyrolysis" -- "biomass"
"skin cancer" -- "melanoma"
"science education" -- "engineering education"
"science education" -- "teacher education"
"science education" -- "learning sciences"
"science education" -- "indigenous education"
"science education" -- "stem education"
"science education" -- "physics education research"
"science education" -- "ict in education"
"science education" -- "chemistry education"
"science education" -- "environmental education"
"science education" -- "biology education"
"science education" -- "learning environments"
"taxation" -- "accounting"
"isogeometric analysis" -- "computational mechanics"
"ichthyology" -- "systematics"
"quantum information" -- "quantum physics"
"quantum information" -- "quantum foundations"
"quantum information" -- "quantum metrology"
"quantum information" -- "quantum simulation"
"quantum information" -- "quantum computing"
"quantum information" -- "quantum optics"
"quantum information" -- "open quantum systems"
"quantum information" -- "quantum"
"quantum information" -- "quantum mechanics"
"quantum information" -- "quantum cryptography"
"quantum information" -- "quantum control"
"innovation studies" -- "economic geography"
"hardware" -- "embedded systems"
"functional morphology" -- "biomechanics"
"solid state chemistry" -- "materials science"
"life history" -- "ecology"
"insect physiology" -- "molecular biology"
"economic geography" -- "innovation"
"economic geography" -- "regional development"
"economic geography" -- "regional science"
"quality of life" -- "health psychology"
"medieval history" -- "history"
"terahertz" -- "thz"
"terahertz" -- "metamaterials"
"piezoelectric" -- "energy harvesting"
"piezoelectric" -- "ferroelectrics"
"algae" -- "biofuels"
"polymer composites" -- "nanocomposites"
"chromatin biology" -- "epigenetics"
"optical sensors" -- "photonics"
"hydraulics" -- "hydrology"
"applied ethics" -- "ethics"
"finite element modeling" -- "biomechanics"
"solar" -- "renewable energy"
"taxonomy" -- "systematics"
"sustainable design" -- "architecture"
"construction engineering" -- "management"
"optofluidics" -- "microfluidics"
"geologia" -- "gis"
"macroevolution" -- "phylogenetics"
"cultural heritage" -- "computer graphics"
"regional economics" -- "urban"
"youth" -- "gender"
"youth" -- "children"
"nursing" -- "midwifery"
"nursing" -- "mental health"
"nursing" -- "nursing education"
"x-ray imaging" -- "tomography"
"liquid crystals" -- "soft matter"
"bridges" -- "concrete"
"mbe" -- "semiconductors"
"sexualidad" -- "antropologia urbana"
"sexualidad" -- "género"
"clinical microbiology" -- "infectious diseases"
"hybridization" -- "speciation"
"auditory perception" -- "psychoacoustics"
"service oriented architecture" -- "software engineering"
"user interfaces" -- "user experience"
