"dtn" -- "networks"
"metabarcoding" -- "molecular ecology"
"anaerobic digestion" -- "biohydrogen"
"anaerobic digestion" -- "wastewater treatment"
"anaerobic digestion" -- "composting"
"anaerobic digestion" -- "biogas"
"amo" -- "quantum optics"
"global political economy" -- "international relations"
"recursos hídricos" -- "hidráulica"
"recursos hídricos" -- "geoprocessamento"
"recursos hídricos" -- "mudanças climáticas"
"recursos hídricos" -- "engenharia"
"recursos hídricos" -- "hidrologia"
"strabismus" -- "amblyopia"
"cost-effectiveness" -- "health economics"
"careers" -- "gender"
"stereotactic radiosurgery" -- "radiation oncology"
"safety culture" -- "medical error"
"dental implants" -- "saliva"
"dental implants" -- "dentistry"
"renewable energy integration" -- "smart grid"
"resampling" -- "statistics"
"protein-ligand interactions" -- "structural biology"
"nanosensors" -- "nanomaterials"
"biological oceanography" -- "zooplankton ecology"
"biological oceanography" -- "phytoplankton ecology"
"biological oceanography" -- "microbial ecology"
"personalisation" -- "digital humanities"
"registration" -- "segmentation"
"chaos theory" -- "dynamical systems"
"automated deduction" -- "logic"
"polymer chemistry" -- "supramolecular materials"
"polymer chemistry" -- "atrp"
"polymer chemistry" -- "photopolymerization"
"polymer chemistry" -- "polymer brushes"
"polymer chemistry" -- "emulsion polymerization"
"polymer chemistry" -- "organic materials"
"polymer chemistry" -- "controlled radical polymerization"
"photocatalysis" -- "tio2"
"photocatalysis" -- "chemical vapor deposition (cvd)"
"photocatalysis" -- "advanced oxidation technologies"
"photocatalysis" -- "water splitting"
"photocatalysis" -- "solar energy conversion"
"photocatalysis" -- "hybrid nanomaterials"
"photocatalysis" -- "plasmonic materials"
"photocatalysis" -- "nanomaterials"
"amphibians" -- "conservation biology"
"amphibians" -- "reptiles"
"water relations" -- "photosynthesis"
"statistical methodology" -- "bayesian statistics"
"verbal behavior" -- "applied behavior analysis"
"internet governance" -- "international relations"
"design for manufacturability" -- "physical design"
"spinal deformities" -- "spine"
"sports performance" -- "exercise physiology"
"mixing" -- "turbulence"
"atopic dermatitis" -- "dermatology"
"qpcr" -- "optical spectroscopy"
"neurological surgery" -- "neuro-oncology"
"vaccine design" -- "immunology"
"geografia física" -- "geomorfologia"
"public sector reform" -- "public administration"
"expresión gráfica" -- "ingeniería civil"
"expresión gráfica" -- "arquitectura"
"transition" -- "self-determination"
"transition" -- "transportation"
"sociologia da educação" -- "avaliação educacional"
"neuroprosthesis" -- "functional electrical stimulation"
"elettromagnetismo" -- "microscopia"
"elettromagnetismo" -- "nanotecnologia"
"construction management" -- "project delivery"
"construction management" -- "project management"
"construction management" -- "accident analysis"
"construction management" -- "bim"
"construction management" -- "construction economics"
"construction management" -- "pavement management"
"construction management" -- "facilities management"
"construction management" -- "safety management"
"construction management" -- "construction safety"
"construction management" -- "building information modeling (bim)"
"construction management" -- "building information modeling"
"construction management" -- "disaster recovery"
"plant disease epidemiology" -- "modeling"
"mixed signal design" -- "analog"
"simulation numérique" -- "plasma"
"consciousness studies" -- "neuroscience"
"szkolnictwo wyższe" -- "socjologia"
"szkolnictwo wyższe" -- "inżynieria materiałowa"
"literary" -- "cultural theory"
"servitization" -- "product-service systems"
"servitization" -- "business models"
"coffee" -- "environment"
"metal-organic frameworks" -- "catalysis"
"metal-organic frameworks" -- "coordination polymers"
"x-ray photoelectron spectroscopy" -- "materials science"
"online algorithms" -- "approximation algorithms"
"sports injury" -- "biomechanics"
"social inequalities in health" -- "social epidemiology"
"cultural values" -- "decision theory"
"social semiotics" -- "multimodality"
"metal-microbe interactions" -- "mercury biogeochemistry"
"metal-microbe interactions" -- "gene regulation"
"protein translation" -- "genetics"
"nuclear materials" -- "radiation damage"
"nuclear materials" -- "materials science"
"personalized medicine" -- "genomics"
"personalized medicine" -- "pharmacogenomics"
"personalized medicine" -- "genomic medicine"
"fatty liver disease" -- "neurodevelopmental diseases"
"composition studies" -- "writing"
"behavioral decision making" -- "managerial psychology"
"constructionism" -- "learning sciences"
"soil microbiology" -- "microbial ecology"
"patologia vegetale" -- "biochimica"
"service operations management" -- "supply chain management"
"distribution theory" -- "statistics"
"sumo" -- "ubiquitin"
"sol-gel chemistry" -- "energy storage"
"social judgment" -- "social psychology"
"optical tomography" -- "adaptive optics"
"its applications" -- "machine learning"
"cell encapsulation" -- "tissue engineering"
"antifouling" -- "bioadhesion"
"antifouling" -- "surface modification"
"earth surface processes" -- "geomorphology"
"animal production" -- "livestock"
"animal production" -- "agriculture"
"sociophonetics" -- "sociolinguistics"
"experimental phonetics" -- "tone"
"experimental phonetics" -- "evolutionary linguistics"
"psychological assessment" -- "psychometrics"
"graphs" -- "algorithms"
"macroalgae" -- "ecology"
"macroalgae" -- "seaweed"
"harvesting" -- "energy storage"
"regional policy" -- "economic geography"
"food analysis" -- "food chemistry"
"fibrosis" -- "fibroblasts"
"fibrosis" -- "inflammation"
"ebsd" -- "crystallographic texture"
"ebsd" -- "materials science"
"information network analysis" -- "social"
"system integration" -- "nanotechnology"
"land-atmosphere interactions" -- "climate"
