"Eripus 1593" -- "Eripus s. str. 1638"
"Eripus 1593" -- "None 1592"
"Ptycta maculata 36061" -- "Ptycta 35174"
"Parasphendale ghindana 54246" -- "Parasphendale 12832"
"None 15259" -- "None 15255"
"None 15259" -- "Pterobunocephalus 15260"
"None 15259" -- "None 15261"
"None 1211" -- "None 1210"
"None 1211" -- "None 1213"
"None 1211" -- "Triplosarus 1212"
"Aradoidea 10942" -- "Termitaphididae 10944"
"Aradoidea 10942" -- "Pentatomomorpha 10818"
"Tapinolepis candida 24632" -- "Tapinolepis 22366"
"Polyxenidae 52760" -- "Polyxenida 8139"
"Stolonis fulvostigma 67847" -- "Stolonis 51491"
"Linnina 23579" -- "Valerina 23578"
"Linnina 23579" -- "Linnaeeae 20795"
"Linnina 23579" -- "None 23580"
"Napeogenes stella 72340" -- "Napeogenes 27604"
"Nebriini 152" -- "Nippononebria 1380"
"Nebriini 152" -- "Nebria 1381"
"Nebriini 152" -- "Nebriitae 51"
"Nebriini 152" -- "etc. 1382"
"None 21348" -- "None 21342"
"None 21348" -- "Najadaceae 21350"
"None 52158" -- "None 20696"
"None 52158" -- "Caryophyllales 20703"
"Parrhinotermes 11551" -- "Rhinotermitidae 11377"
"None 76431" -- "None 76430"
"None 76431" -- "None 76433"
"Paucidentula 19306" -- "Bursovaginoidea 19296"
"Erwiniana sculpticollis group 257" -- "iris subgroup 319"
"Erwiniana sculpticollis group 257" -- "sulpticollis subgroup 323"
"Erwiniana sculpticollis group 257" -- "Erwiniana 225"
"Erwiniana sculpticollis group 257" -- "villiersi subgroup 308"
"Erwiniana sculpticollis group 257" -- "apiscisulcata subgroup 314"
"Trombidiformes 2568" -- "Prostigmata 2578"
"Trombidiformes 2568" -- "Acariformes 2563"
"Trombidiformes 2568" -- "Sphaerolichida 2577"
"None 15200" -- "None 15198"
"Ornitholestes 15705" -- "Coelurosauria 15769"
"Dismorphia 76374" -- "None 76381"
"Synphellia dubia 18289" -- "Phellia 18304"
"None 1294" -- "None 1295"
"None 1294" -- "Eucamaragnathus 1292"
"Procambarus (Ortmannicus) youngi 7599" -- "Procambarus (Ortmannicus) 7346"
"Pelecium obscurum 1688" -- "Pelecium laeve group 1686"
"Thermobispora 60068" -- "Pseudonocardineae 60051"
"Sepiola parva 24025" -- "Sepiola 20038"
"Thalattosiren 16848" -- "Halitheriinae 16843"
"Paraoxypilus armatus 53216" -- "Paraoxypilus 12548"
"Nordus cherylae 57078" -- "None 57077"
"Plaumannister 9344" -- "Hetaeriinae 9394"
"None 67381" -- "Icteridae 67292"
"None 67381" -- "None 67382"
"None 67381" -- "Nesopsar nigerrimus 67412"
"Pinus oocarpa 27244" -- "None 27226"
"Pseudowintera 21550" -- "Winteraceae 21542"
"None 12208" -- "None 12210"
"None 12208" -- "Teinopalpus 12209"
"None 12208" -- "Papilioninae 12206"
"None 76387" -- "None 76389"
"Neonella lubrica 4946" -- "Neonella 2959"
"Myas 51648" -- "None 51902"
"Endoclita 11823" -- "Hepialidae s. str. 11789"
"Rhopalomastix umbracapita 23078" -- "Rhopalomastix 22784"
"Pterocladia 21774" -- "None 21772"
"Other Maevia 4504" -- "Maevia 3031"
"None 56937" -- "Idolomorphini 53107"
"None 56937" -- "Idolomorpha 12597"
"Oleria onega 72408" -- "Oleria 27611"
"Miobantia rustica 56568" -- "Miobantia 12913"
"Cricetidae 16545" -- "Eumuroida 16528"
"Cricetidae 16545" -- "None 50663"
"Tamiops 16743" -- "Callosciurini 16809"
"Schizogenius sallei 1017" -- "None 1016"
"Catapieseini 105" -- "Catapiesis 896"
"Catapieseini 105" -- "Cratocerini 51315"
"Ripogonaceae 21497" -- "Liliales 21332"
"Pipunculus basilicus 54801" -- "Pipunculus 54641"
"None 2842" -- "Synemosyninae 2843"
"None 2842" -- "Salticinae Division 2837"
"None 2842" -- "Hyetussinae 2844"
"None 2527" -- "Arthropoda 2469"
"None 2527" -- "Hexapoda 2528"
"None 2527" -- "Crustacea 2529"
"Napeogenes peridia 72335" -- "Napeogenes 27604"
"Neobatrachia 16987" -- "Rhinoderma 16948"
"Neobatrachia 16987" -- "None 16949"
"Neobatrachia 16987" -- "Limnodynastinae 16944"
"Neobatrachia 16987" -- "'Leptodactylidae' 16943"
"Neobatrachia 16987" -- "Brachycephalidae 16940"
"Neobatrachia 16987" -- "None 16945"
"Neobatrachia 16987" -- "Bufonidae 16941"
"Neobatrachia 16987" -- "Heleophryne 16942"
"Neobatrachia 16987" -- "(E) 16974"
"Neobatrachia 16987" -- "Dendrobatidae 16956"
"Neobatrachia 16987" -- "None 16953"
"Mantini 12763" -- "Mantis 12778"
"Mantini 12763" -- "Statilia 12780"
"Mantini 12763" -- "Pictomantis 12784"
"Mantini 12763" -- "Mantinae 12744"
"Mantini 12763" -- "Phaeomantis 12788"
"Mantini 12763" -- "Oromantis 12789"
"Mantini 12763" -- "Rhodomantis 12562"
"Mantini 12763" -- "Tauromantis 12783"
"Mantini 12763" -- "Mesopteryx 12781"
"Mantini 12763" -- "Palaeophotina 12785"
"Mantini 12763" -- "Pseudomantis 12561"
"Mantini 12763" -- "Omomantis 12796"
"Omoglymmius (Laminoglymmius) 2049" -- "None 2068"
"Omoglymmius (Laminoglymmius) 2049" -- "Omoglymmius 2013"
"Omoglymmius (Laminoglymmius) 2049" -- "Omoglymmius rugosus 2067"
"None 669" -- "None 676"
"None 669" -- "None 670"
"None 669" -- "None 673"
"None 669" -- "None 666"
"Pinus roxburghii 27283" -- "None 27277"
"None 1279" -- "None 1278"
"None 76457" -- "None 76459"
"None 76457" -- "None 76455"
"None 76457" -- "Ganyra 76458"
"Pinus culminicola 27157" -- "None 27154"
"None 14066" -- "None 14070"
"None 14066" -- "None 14067"
"None 14066" -- "Decepta Group 14065"
"Adenoviridae 57348" -- "Double-stranded DNA Viruses 21830"
"Adenoviridae 57348" -- "Siadenovirus 57352"
"None 9782" -- "Phloeocharinae 9783"
"None 9782" -- "None 9781"
"None 9782" -- "Olisthaerinae 9784"
"None 9115" -- "None 9114"
"Gastromicans 2890" -- "None 2874"
"Tivia 8757" -- "Polyphagidae 8284"
"Uluella 2919" -- "None 2874"
"Palpifer tavoyanus 28138" -- "Palpifer 11791"
"Tomosvaryella brevidens 55251" -- "Tomosvaryella 54668"
"Trachypachidae 8887" -- "None 29300"
"Trachypachidae 8887" -- "Systolosoma 8982"
"Trachypachidae 8887" -- "Trachypachus 8981"
