"geomicrobiology" -- "biogeochemistry"
"developmental psychology" -- "comparative psychology"
"developmental psychology" -- "educational psychology"
"systems" -- "fuzzy sets"
"systems" -- "circuits"
"lighting" -- "daylighting"
"healthcare analytics" -- "data mining"
"media studies" -- "game studies"
"media studies" -- "journalism studies"
"race" -- "gender"
"race" -- "racism"
"race" -- "ethnic politics"
"business ethics" -- "corporate social responsibility"
"business ethics" -- "csr"
"chemical biology" -- "medicinal chemistry"
"computational imaging" -- "computational photography"
"computational imaging" -- "inverse problems"
"vegetation science" -- "plant ecology"
"machine design" -- "cad"
"gut microbiota" -- "microbial ecology"
"mathematical morphology" -- "image processing"
"mobile networks" -- "wireless"
"perceptual learning" -- "amblyopia"
"perceptual learning" -- "vision"
"applied mathematics" -- "numerical"
"hydrometeorology" -- "hydrology"
"non-coding rnas" -- "epigenetics"
"uav" -- "robotics"
"uav" -- "uas"
"molecular phylogenetics" -- "molecular evolution"
"functional analysis" -- "harmonic analysis"
"functional analysis" -- "fixed point theory"
"functional analysis" -- "operator algebras"
"cognitive engineering" -- "human factors"
"events" -- "tourism"
"organic geochemistry" -- "biogeochemistry"
"aging" -- "telomeres"
"aging" -- "cognitive decline"
"aging" -- "cognitive impairment"
"aging" -- "retirement"
"natural products" -- "phytochemistry"
"applied linguistics" -- "tesol"
"applied linguistics" -- "english for specific purposes"
"applied linguistics" -- "second language writing"
"applied linguistics" -- "discourse analysis"
"applied linguistics" -- "sla"
"applied linguistics" -- "call"
"dendritic cells" -- "immunology"
"coatings" -- "thermal spray"
"computer science" -- "software engineering"
"nonadiabatic dynamics" -- "quantum dynamics"
"pediatric urology" -- "urology"
"comparative genomics" -- "molecular evolution"
"translation studies" -- "comparative literature"
"artificial photosynthesis" -- "solar fuels"
"performance studies" -- "theatre"
"vascular disease" -- "surgery"
"video processing" -- "imaging"
"video processing" -- "video compression"
"phonology" -- "morphology"
"international institutions" -- "international relations"
"operating systems" -- "computer architecture"
"operating systems" -- "storage systems"
"mobile" -- "pervasive computing"
"chemical reaction engineering" -- "catalysis"
"social cognition" -- "stereotyping"
"social cognition" -- "attitudes"
"conducting polymers" -- "supercapacitors"
"auctions" -- "market design"
"auctions" -- "industrial organization"
"ict" -- "ict4d"
"transnationalism" -- "globalization"
"feminism" -- "gender"
"market design" -- "auction theory"
"market design" -- "matching theory"
"parallel programming" -- "compilers"
"mass cytometry" -- "immunology"
"behavioral operations" -- "operations management"
"chemical vapor deposition" -- "graphene"
"veterinary medicine" -- "isu-vdpam"
"veterinary medicine" -- "animal welfare"
"microeconomic theory" -- "information economics"
"microeconomic theory" -- "decision theory"
"microeconomic theory" -- "auction theory"
"science communication" -- "environmental communication"
"security studies" -- "international relations"
"econometrics" -- "time series"
"econometrics" -- "applied economics"
"intelligent control" -- "nonlinear control"
"metabolic engineering" -- "biochemical engineering"
"human-computer interaction" -- "mobile interaction"
"human-computer interaction" -- "personal informatics"
"human-computer interaction" -- "accessible computing"
"human-computer interaction" -- "end-user programming"
"noncommutative geometry" -- "operator algebras"
"adaptation" -- "vulnerability"
"adaptation" -- "climate change"
"adaptation" -- "speciation"
"adaptation" -- "climate change mitigation"
"library" -- "librarians"
"library" -- "information studies"
"library" -- "information literacy"
"climate extremes" -- "climate change"
"mitosis" -- "cell biology"
"free boundary problems" -- "partial differential equations"
"philosophy of mathematics" -- "logic"
"nmr spectroscopy" -- "structural biology"
"neuroimaging" -- "brain connectivity"
"neuroimaging" -- "psychiatry"
"neuroimaging" -- "diffusion tensor imaging"
"body area networks" -- "wireless sensor networks"
"emotion recognition" -- "affective computing"
"substance use" -- "hiv"
"antarctica" -- "greenland"
"antarctica" -- "glaciology"
"software metrics" -- "software engineering"
"computational creativity" -- "artificial intelligence"
"computational creativity" -- "procedural content generation"
"ultrasound imaging" -- "photoacoustic imaging"
"voice" -- "speech"
"radiochemistry" -- "pet"
"performance analysis" -- "stochastic modeling"
"cervical cancer" -- "hiv"
"emerging infectious diseases" -- "zoonoses"
"comorbidity" -- "mental health"
"economics of education" -- "labor economics"
"sign language" -- "linguistics"
"international trade law" -- "international law"
"software maintenance" -- "software engineering"
"ground improvement" -- "geotechnical engineering"
"diabetes" -- "cardiovascular disease"
"diabetes" -- "beta cells"
"reservoir simulation" -- "eor"
"uncertainty quantification" -- "model reduction"
"uncertainty quantification" -- "inverse problems"
"neuropharmacology" -- "psychopharmacology"
"biogeochemistry" -- "oceanography"
"biogeochemistry" -- "microbial ecology"
"biogeochemistry" -- "ecosystem ecology"
"biogeochemistry" -- "stable isotopes"
"biomembranes" -- "biophysics"
"exercise physiology" -- "sports science"
"exercise physiology" -- "strength"
"exercise physiology" -- "cardiovascular physiology"
"discourse analysis" -- "sociolinguistics"
"plant" -- "soil ecology"
"concrete structures" -- "steel structures"
"led" -- "solar cells"
"led" -- "gan"
"power system operation" -- "planning"
"prosthodontics" -- "implantology"
"prosthodontics" -- "implant dentistry"
"prosthodontics" -- "dental materials"
"origin of life" -- "prebiotic chemistry"
"protein crystallography" -- "structural biology"
"procedure" -- "criminal law"
"caregiving" -- "gerontology"
"microbiota" -- "mucosal immunology"
"semiconductors" -- "solar cells"
"semiconductors" -- "optoelectronics"
"urban design" -- "urban planning"
"urban design" -- "public space"
"conservation" -- "seabirds"
"e-learning" -- "educational technology"
"graph algorithms" -- "data structures"
"leukemia" -- "hematology"
"leukemia" -- "lymphoma"
"mobile computing" -- "pervasive computing"
"mobile computing" -- "ubiquitous"
"supergravity" -- "string theory"
"literacy" -- "children s literature"
"literacy" -- "reading"
"solid oxide fuel cells" -- "batteries"
"immunology" -- "t cells"
"immunology" -- "allergy"
"immunology" -- "microbiology"
"immunology" -- "infectious diseases"
"immunology" -- "virology"
"immunology" -- "autoimmunity"
"immunology" -- "inflammasome"
"immunology" -- "rheumatology"
"immunology" -- "immune regulation"
"immunology" -- "t cell development"
"lgbt health" -- "hiv prevention"
"learning theory" -- "algorithmic game theory"
"cellular" -- "molecular neuroscience"
"restorative justice" -- "criminology"
"drives" -- "power electronics"
"collective intelligence" -- "crowdsourcing"
"social determinants of health" -- "health inequalities"
"variational inequalities" -- "equilibrium problems"
"air pollution" -- "aerosol science"
"air pollution" -- "atmospheric chemistry"
"air pollution" -- "environmental epidemiology"
"air pollution" -- "particulate matter"
"holography" -- "string theory"
"vibration control" -- "noise"
"coastal geology" -- "sedimentology"
"brain computer interface" -- "neural engineering"
"fib" -- "tem"
"change" -- "sociolinguistics"
"change" -- "climate variability"
"reporting" -- "financial accounting"
"children" -- "youth"
"service operations" -- "healthcare operations"
"service operations" -- "operations management"
"autism" -- "applied behavior analysis"
"autism" -- "behavior analysis"
"autism" -- "developmental disabilities"
"autism" -- "intellectual disability"
"earthquake geology" -- "structural geology"
"body" -- "gender"
"science" -- "sociology of science"
"science" -- "technology policy"
"philosophical logic" -- "metaphysics"
"engagement" -- "motivation"
"soft matter physics" -- "biophysics"
"molecular dynamics" -- "biomolecular simulations"
"molecular dynamics" -- "biophysics"
"molecular dynamics" -- "mm"
"molecular dynamics" -- "computational biophysics"
"x-ray" -- "neutron scattering"
"isotope geochemistry" -- "carbonate sedimentology"
"isotope geochemistry" -- "chemical oceanography"
"isotope geochemistry" -- "geochronology"
"reprogramming" -- "stem cells"
"psychophysics" -- "visual perception"
"psychophysics" -- "vision"
"psychophysics" -- "multisensory integration"
"organisation" -- "management"
"complex traits" -- "human genetics"
"political violence" -- "terrorism"
"logic" -- "category theory"
"logic" -- "automata"
"bees" -- "pollination"
"protein structure" -- "x-ray crystallography"
"protein structure" -- "function"
"periodontology" -- "implantology"
"periodontology" -- "oral microbiology"
"corals" -- "coral reefs"
"electronic health records" -- "clinical decision support"
"na-ion batteries" -- "li-ion batteries"
"hcv" -- "hiv"
"development economics" -- "agricultural economics"
"development economics" -- "political economy"
"development economics" -- "labor economics"
"development economics" -- "institutional economics"
"experimental psychopathology" -- "clinical psychology"
"image reconstruction" -- "pet"
"bioarchaeology" -- "skeletal biology"
"bioarchaeology" -- "forensic anthropology"
"bioarchaeology" -- "biological anthropology"
"framing" -- "political communication"
"39;s disease" -- "alzheimer s disease"
"39;s disease" -- "parkinson s disease"
"language processing" -- "speech"
"microbial ecology" -- "microbial diversity"
"microbial ecology" -- "anammox"
"microbial ecology" -- "metagenomics"
"microbial ecology" -- "environmental microbiology"
"microbial ecology" -- "marine microbiology"
"organic synthesis" -- "asymmetric catalysis"
"organic synthesis" -- "medicinal chemistry"
"organic synthesis" -- "heterocycles"
"equity" -- "diversity"
"self-compassion" -- "mindfulness"
"parkinson&" -- "neurodegenerative diseases"
"parkinson&" -- "alzheimer s disease"
"nutraceuticals" -- "functional foods"
"neural interfaces" -- "neural engineering"
"sport" -- "exercise psychology"
"estuarine ecology" -- "marine ecology"
"theoretical biology" -- "mathematical biology"
"social philosophy" -- "political philosophy"
"motor drives" -- "power electronics"
"semiotics" -- "linguistics"
"ontology engineering" -- "semantic web"
"hippocampus" -- "memory"
"hippocampus" -- "prefrontal cortex"
"hippocampus" -- "episodic memory"
"biostratigraphy" -- "micropaleontology"
"deep learning" -- "representation learning"
"deep learning" -- "machine learning"
"paleoanthropology" -- "human evolution"
"paleoanthropology" -- "biological anthropology"
"cft" -- "string theory"
"organizational behavior" -- "human resource management"
"critical theory" -- "american literature"
"critical theory" -- "marxism"
"speech processing" -- "speech recognition"
"hospice" -- "palliative care"
"evapotranspiration" -- "remote sensing"
"physical metallurgy" -- "welding"
"physical metallurgy" -- "steel"
"microwave engineering" -- "antennas"
"signal processing" -- "information theory"
"signal processing" -- "radar systems"
"signal processing" -- "machine learning"
"signal processing" -- "adaptive filtering"
"signal processing" -- "sonar"
"bayesian nonparametrics" -- "statistics"
"building materials" -- "construction"
"extracellular vesicles" -- "exosomes"
"mental health" -- "substance abuse"
"mental health" -- "psychiatry"
"organizational psychology" -- "industrial"
"organizational psychology" -- "occupational health psychology"
"qualitative methods" -- "gender"
"courts" -- "judicial politics"
"vitamin d" -- "osteoporosis"
"valuation" -- "financial accounting"
"bilingualism" -- "language acquisition"
"bilingualism" -- "multilingualism"
"early childhood education" -- "child development"
"brazil" -- "latin america"
"sociology" -- "criminology"
"sociology" -- "education"
"sociology" -- "youth studies"
"sociology" -- "social theory"
"intervertebral disc" -- "tissue engineering"
"islamic finance" -- "finance"
"emergency medicine" -- "trauma"
"emergency medicine" -- "disaster medicine"
"social determinants" -- "public health"
"prebiotic chemistry" -- "astrobiology"
"psychiatry" -- "neuropsychiatry"
"psychiatry" -- "psychopharmacology"
"molecular pharmacology" -- "drug discovery"
"opinion mining" -- "sentiment analysis"
"investments" -- "corporate finance"
"investments" -- "finance"
"neighbourhoods" -- "housing"
"coastal geomorphology" -- "coastal processes"
"pharmaceutical analysis" -- "analytical chemistry"
"survival analysis" -- "clinical trials"
"survival analysis" -- "causal inference"
"harmonic analysis" -- "geometric measure theory"
"supply chain management" -- "operations management"
"supply chain management" -- "production planning"
"supply chain management" -- "supply chain risk management"
"supply chain management" -- "procurement"
"supply chain management" -- "humanitarian logistics"
"carbon capture" -- "gas separation"
"political economy" -- "cultural economics"
"political economy" -- "corruption"
"political economy" -- "formal political theory"
"competition" -- "regulation"
"hybrid electric vehicles" -- "power electronics"
"smart materials" -- "shape memory alloys"
"smart materials" -- "structures"
"land cover" -- "remote sensing"
"land cover" -- "land use change"
"land cover" -- "land use"
"psychotherapy" -- "clinical psychology"
"psychotherapy" -- "psychoanalysis"
"psychotherapy" -- "depression"
"organic semiconductors" -- "device physics"
"organic semiconductors" -- "oled"
"financial accounting" -- "corporate disclosure"
"hydraulics" -- "hydrology"
"strategic alliances" -- "international business"
"corporate sustainability" -- "corporate social responsibility"
"elderly" -- "nutrition"
"chemical ecology" -- "plant-insect interactions"
"chemical ecology" -- "entomology"
"hydrology" -- "ecohydrology"
"hydrology" -- "water resources"
"hydrology" -- "water engineering"
"hydrology" -- "water resources management"
"hydrology" -- "watersheds"
"hydrology" -- "agricultural water management"
"hydrology" -- "water quality"
"hydrology" -- "wildfire"
"hydrology" -- "snow"
"hydrology" -- "geomorphology"
"hydrology" -- "uncertainty analysis"
"hydrology" -- "hydrogeology"
"health services research" -- "health policy"
"health services research" -- "primary care"
"accounting" -- "finance"
"chemistry education" -- "science education"
"transcription" -- "chromatin"
"general relativity" -- "gravitational waves"
"cognitive neuroscience" -- "attention"
"cognitive neuroscience" -- "cognitive psychology"
"cognitive neuroscience" -- "neurobiology of language"
"cognitive neuroscience" -- "time perception"
"cognitive neuroscience" -- "numerical cognition"
"population genetics" -- "conservation genetics"
"population genetics" -- "phylogenetics"
"population genetics" -- "speciation"
"population genetics" -- "medical genetics"
"population genetics" -- "domestication"
"polarimetry" -- "remote sensing"
"solar physics" -- "space physics"
"solar physics" -- "mhd waves"
"graph mining" -- "data mining"
"child development" -- "parenting"
"theatre" -- "drama"
"fuel cells" -- "batteries"
"fuel cells" -- "catalyst"
"nucleation" -- "crystallization"
"privacy" -- "anonymity"
"privacy" -- "differential privacy"
"privacy" -- "data protection"
"privacy" -- "anonymous communications"
"privacy" -- "trust"
"privacy" -- "surveillance"
"privacy" -- "data security"
"parenting" -- "temperament"
"sedimentology" -- "ichnology"
"sedimentology" -- "basin analysis"
"sedimentology" -- "stratigraphy"
"sedimentology" -- "geology"
"sedimentology" -- "geomorphology"
"sedimentology" -- "petroleum geology"
"marine biogeochemistry" -- "chemical oceanography"
"social care" -- "health"
"driver assistance systems" -- "intelligent vehicles"
"tourism" -- "sustainable tourism"
"tourism" -- "heritage"
"tourism" -- "travel"
"tumor microenvironment" -- "cancer biology"
"género" -- "educación"
"género" -- "comunicación"
"medicinal chemistry" -- "pharmaceutical chemistry"
"medicinal chemistry" -- "drug discovery"
"medicinal chemistry" -- "heterocyclic chemistry"
"medicinal chemistry" -- "peptide chemistry"
"medicinal chemistry" -- "total synthesis"
"medicinal chemistry" -- "bioorganic chemistry"
"dynamics" -- "control"
"dynamics" -- "vibration"
"landscape ecology" -- "landscape genetics"
"landscape ecology" -- "forest ecology"
"landscape ecology" -- "ecosystem services"
"landscape ecology" -- "urban ecology"
"microelectronics" -- "cmos"
"building performance simulation" -- "daylighting"
"myopia" -- "vision"
"nuclear physics" -- "particle physics"
"nuclear physics" -- "particles"
"visual analytics" -- "visualization"
"speech" -- "audio processing"
"cmt" -- "ads"
"crohn s disease" -- "ulcerative colitis"
"educational technology" -- "mobile learning"
"educational technology" -- "learning sciences"
"educational technology" -- "computing education"
"educational technology" -- "instructional design"
"water" -- "wastewater treatment"
"antitrust" -- "industrial organization"
"antitrust" -- "regulation"
"control systems" -- "robotics"
"boiling" -- "heat transfer"
"nematology" -- "entomology"
"breeding" -- "plant genetics"
"dendroclimatology" -- "climate change"
"biophysics" -- "single molecule"
"biophysics" -- "structural biology"
"biophysics" -- "atomic force microscopy"
"chromatin" -- "epigenetics"
"attention" -- "vision"
"attention" -- "awareness"
"attention" -- "memory"
"x-ray crystallography" -- "structural biology"
"tectonic geomorphology" -- "structural geology"
"algebra" -- "ring theory"
"algebra" -- "combinatorics"
"gerontology" -- "geriatrics"
"medical devices" -- "biomedical engineering"
"post-translational modifications" -- "proteomics"
"multiple sclerosis" -- "neurology"
"citizen science" -- "science education"
"industrial microbiology" -- "biotechnology"
"geometric measure theory" -- "calculus of variations"
"arabidopsis" -- "plant biology"
"molecular electronics" -- "quantum transport"
"oceanography" -- "marine science"
"oceanography" -- "plankton ecology"
"strategic leadership" -- "corporate governance"
"physical layer security" -- "information theory"
"medicinal plants" -- "phytochemistry"
"prejudice" -- "stigma"
"philosophy of education" -- "education policy"
"soil mechanics" -- "geotechnical engineering"
"soil mechanics" -- "geotechnics"
"anatomy" -- "embryology"
"design research" -- "service design"
"design research" -- "design thinking"
"statistics" -- "probability"
"statistics" -- "data analysis"
"statistics" -- "design of experiments"
"audio" -- "acoustics"
"audio" -- "speech signal processing"
"algebraic combinatorics" -- "enumerative combinatorics"
"family therapy" -- "couples"
"electrical machines" -- "power electronics"
"geochronology" -- "geology"
"computational design" -- "digital fabrication"
"face recognition" -- "object recognition"
"sexual selection" -- "mate choice"
"sexual selection" -- "behavioral ecology"
"sexual selection" -- "mating systems"
"sexual selection" -- "speciation"
"sexual selection" -- "sperm competition"
"spirituality" -- "religion"
"indexing" -- "query processing"
"biology education" -- "science education"
"nanosensors" -- "nanomaterials"
"mesenchymal stem cells" -- "tissue engineering"
"wetlands" -- "rivers"
"wetlands" -- "restoration"
"astronomy" -- "astrophysics"
"astronomy" -- "exoplanets"
"microscopy" -- "fluorescence"
"microscopy" -- "optics"
"microscopy" -- "biophotonics"
"agile" -- "lean"
"memory" -- "neurobiology of learning"
"memory" -- "autobiographical memory"
"tissue engineering" -- "biomedical engineering"
"tissue engineering" -- "bioreactors"
"tissue engineering" -- "electrospinning"
"tissue engineering" -- "stem cells"
"tissue engineering" -- "bone regeneration"
"tissue engineering" -- "regenerative"
"open access" -- "open science"
"open access" -- "institutional repositories"
"global governance" -- "international political economy"
"cooperation" -- "trust"
"constraint programming" -- "sat"
"constraint programming" -- "logic programming"
"atomic physics" -- "precision measurement"
"atomic physics" -- "rydberg atoms"
"pyrolysis" -- "biochar"
"medieval studies" -- "digital humanities"
"stress" -- "social support"
"stress" -- "cortisol"
"stress" -- "depression"
"stress" -- "psychoneuroimmunology"
"fiber optics" -- "photonics"
"transition" -- "transportation"
"musicology" -- "music theory"
"musicology" -- "music"
"suicide" -- "self-injury"
"suicide" -- "depression"
"cell biology" -- "membrane trafficking"
"cell biology" -- "cytoskeleton"
"cell biology" -- "molecular"
"cell biology" -- "endocytosis"
"cell biology" -- "developmental biology"
"antimicrobial stewardship" -- "infectious diseases"
"robot vision" -- "slam"
"swarm intelligence" -- "swarm robotics"
"cryo-em" -- "structural biology"
"plant virology" -- "plant pathology"
"dna repair" -- "dna damage"
"morphometrics" -- "evolutionary biology"
"intelligent tutoring systems" -- "affective computing"
"intelligent tutoring systems" -- "educational data mining"
"quantum cryptography" -- "quantum information"
"reinforcement learning" -- "artificial intelligence"
"power system stability" -- "power system dynamics"
"power system stability" -- "control"
"internal combustion engines" -- "emissions"
"civil war" -- "terrorism"
"civil war" -- "international relations"
"sociology of law" -- "criminology"
"turbulent flows" -- "flow control"
"discrete element method" -- "rock mechanics"
"time series" -- "forecasting"
"palliative care" -- "end of life care"
"palliative care" -- "psychosocial oncology"
"protein biochemistry" -- "structural biology"
"document image analysis" -- "pattern recognition"
"pavement" -- "asphalt"
"artificial intelligence" -- "robotics"
"artificial intelligence" -- "computer games"
"artificial intelligence" -- "machine learning"
"artificial intelligence" -- "computer vision"
"artificial intelligence" -- "multi-agent systems"
"artificial intelligence" -- "knowledge representation"
"plant biology" -- "plant biochemistry"
"supersymmetry" -- "string theory"
"children s literature" -- "young adult literature"
"tsunami" -- "earthquakes"
"quantum computing" -- "quantum information"
"quantum computing" -- "quantum algorithms"
"community ecology" -- "theoretical ecology"
"community ecology" -- "species interactions"
"community ecology" -- "macroecology"
"cancer immunotherapy" -- "tumor immunology"
"basin analysis" -- "tectonics"
"mate choice" -- "evolutionary psychology"
"pattern recognition" -- "document analysis"
"pattern recognition" -- "human language technology"
"pattern recognition" -- "multimedia information retrieval"
"algebraic geometry" -- "number theory"
"algebraic geometry" -- "computer algebra"
"algebraic geometry" -- "singularity theory"
"algebraic geometry" -- "tropical geometry"
"earth observation" -- "remote sensing"
"structural geology" -- "fault zones"
"structural geology" -- "neotectonics"
"structural geology" -- "tectonics"
"sat" -- "smt"
"depression" -- "anxiety"
"depression" -- "bipolar disorder"
"data mining" -- "web mining"
"data mining" -- "outlier detection"
"data mining" -- "databases"
"data mining" -- "social networks"
"data mining" -- "business intelligence"
"data mining" -- "machine learning"
"eu law" -- "international law"
"rock engineering" -- "rock mechanics"
"exosomes" -- "proteomics"
"exosomes" -- "microvesicles"
"kinetics" -- "thermodynamics"
"music technology" -- "audio signal processing"
"music technology" -- "computer music"
"music technology" -- "music education"
"inventory management" -- "production planning"
"speleothems" -- "paleoclimate"
"knowledge representation" -- "semantic web"
"knowledge representation" -- "reasoning"
"knowledge representation" -- "automated reasoning"
"knowledge representation" -- "logic programming"
"vibration" -- "structural dynamics"
"vibration" -- "noise"
"vibration" -- "acoustics"
"vibration" -- "rotordynamics"
"ms" -- "gc-ms"
"ms" -- "lc-ms"
"bipolar disorder" -- "mood disorders"
"virology" -- "influenza virus"
"virology" -- "virus-host interactions"
"infection control" -- "infectious diseases"
"building information modeling" -- "green building"
"building information modeling" -- "construction"
"lean" -- "operations management"
"human genetics" -- "genomics"
"product development" -- "engineering design"
"urology" -- "urologic oncology"
"geomagnetism" -- "paleomagnetism"
"ancient philosophy" -- "metaphysics"
"ancient philosophy" -- "plato"
"pharmacoepidemiology" -- "comparative effectiveness research"
"pharmacoepidemiology" -- "clinical pharmacology"
"image understanding" -- "computer vision"
"coastal" -- "marine spatial planning"
"micro air vehicles" -- "robotics"
"drug" -- "gene delivery"
"fisheries management" -- "marine conservation"
"block copolymers" -- "directed self-assembly"
"coral reefs" -- "symbiosis"
"coral reefs" -- "marine ecology"
"power electronics" -- "renewable energy generation"
"power electronics" -- "microgrids"
"power electronics" -- "hvdc"
"power electronics" -- "digital control"
"quantum" -- "quantum information"
"urban politics" -- "public policy"
"bone" -- "osteoporosis"
"bone" -- "cartilage"
"measurement" -- "instrumentation"
"trauma" -- "grief"
"trauma" -- "surgery"
"metaheuristics" -- "heuristics"
"metaheuristics" -- "vehicle routing problem"
"human evolution" -- "palaeolithic archaeology"
"distributed control" -- "cooperative control"
"environmental education" -- "science education"
"terrorism" -- "radicalization"
"bioinorganic chemistry" -- "coordination chemistry"
"public relations" -- "crisis communication"
"agronomy" -- "crop modeling"
"x-ray scattering" -- "neutron scattering"
"x-ray scattering" -- "neutron"
"stratification" -- "inequality"
"mathematics education" -- "teacher education"
"mathematics education" -- "problem solving"
"planetary science" -- "planetary geology"
"planetary science" -- "astrobiology"
"regeneration" -- "tissue repair"
"regeneration" -- "stem cells"
"approximation algorithms" -- "algorithmic game theory"
"acquisitions" -- "alliances"
"acquisitions" -- "corporate governance"
"flight dynamics" -- "control"
"computational chemistry" -- "molecular dynamics simulation"
"computational chemistry" -- "quantum chemistry"
"project management" -- "construction"
"social interaction" -- "conversation analysis"
"music therapy" -- "music"
"population genomics" -- "speciation"
"computational logic" -- "logic programming"
"health policy" -- "health systems"
"foraminifera" -- "micropaleontology"
"reconfigurable computing" -- "computer architecture"
"reconfigurable computing" -- "fpga"
"coordination chemistry" -- "organometallics"
"data structures" -- "computational geometry"
"political theory" -- "liberalism"
"political theory" -- "political philosophy"
"political theory" -- "democratic theory"
"maternal" -- "reproductive health"
"wind turbines" -- "wind energy"
"production planning" -- "scheduling"
"legal profession" -- "legal education"
"agribusiness" -- "agricultural economics"
"industrial economics" -- "economics of innovation"
"convex analysis" -- "variational analysis"
"martensitic transformation" -- "shape memory alloys"
"computational social science" -- "network analysis"
"palaeoceanography" -- "palaeoclimatology"
"democratic theory" -- "deliberative democracy"
"educational data mining" -- "learning analytics"
"damage" -- "plasticity"
"memory systems" -- "computer architecture"
"clinical trials" -- "biostatistics"
"paleogeography" -- "paleomagnetism"
"policing" -- "criminal justice"
"policing" -- "criminology"
"surgical oncology" -- "surgery"
"metabolomics" -- "metabonomics"
"metabolomics" -- "lc-ms"
"metabolomics" -- "cancer metabolism"
"metabolomics" -- "mass spectrometry"
"hermeneutics" -- "phenomenology"
"individual differences" -- "emotional intelligence"
"individual differences" -- "personality"
"individual differences" -- "intelligence"
"international business" -- "international management"
"international business" -- "international marketing"
"epigenetics" -- "gene regulation"
"epigenetics" -- "genomic imprinting"
"epigenetics" -- "dna methylation"
"cerebellum" -- "motor control"
"rhinology" -- "skull base surgery"
"scanning tunneling microscopy" -- "surface science"
"microchannels" -- "heat transfer"
"motor learning" -- "motor control"
"sers" -- "plasmonics"
"bacterial genetics" -- "microbiology"
"religion" -- "secularization"
"religion" -- "politics"
"religion" -- "islam"
"prefrontal cortex" -- "executive function"
"prebiotics" -- "probiotics"
"rfid" -- "antennas"
"molecular programming" -- "dna nanotechnology"
"microbiome" -- "metagenomics"
"supercapacitors" -- "metal oxides"
"supercapacitors" -- "li-ion batteries"
"supercapacitors" -- "batteries"
"lipid metabolism" -- "atherosclerosis"
"calculus of variations" -- "pdes"
"calculus of variations" -- "pde"
"calculus of variations" -- "partial differential equations"
"food chemistry" -- "functional foods"
"food chemistry" -- "food engineering"
"intimate partner violence" -- "sexual assault"
"intimate partner violence" -- "child maltreatment"
"crowdsourcing" -- "human computation"
"mindfulness" -- "acceptance"
"mindfulness" -- "emotion regulation"
"mindfulness" -- "compassion"
"class" -- "gender"
"exoplanets" -- "stellar astrophysics"
"exoplanets" -- "astrobiology"
"protein aggregation" -- "neurodegeneration"
"ultrasound" -- "contrast agents"
"ultrasound" -- "photoacoustic imaging"
"ultrasound" -- "elastography"
"ultrasound" -- "transducers"
"wolbachia" -- "symbiosis"
"analog" -- "rf circuits"
"water quality" -- "watershed modeling"
"peacebuilding" -- "statebuilding"
"peacebuilding" -- "conflict"
"information theory" -- "network coding"
"information theory" -- "error correcting codes"
"information theory" -- "compression"
"information theory" -- "molecular communication"
"information theory" -- "communication systems"
"phylogenetics" -- "evolutionary biology"
"phylogenetics" -- "macroevolution"
"phylogenetics" -- "molecular evolution"
"phylogenetics" -- "evolutionary genomics"
"xps" -- "thin films"
"social influence" -- "persuasion"
"co2 reduction" -- "catalysis"
"behavioral neuroendocrinology" -- "behavioral neuroscience"
"negotiation" -- "trust"
"negotiation" -- "conflict"
"tecnología educativa" -- "educación"
"systematics" -- "ichthyology"
"provenance" -- "semantic web"
"nanoelectronics" -- "2d materials"
"stratigraphy" -- "palaeontology"
"biomarker discovery" -- "mass spectrometry"
"dem" -- "cfd"
"real estate" -- "housing"
"homogenization" -- "heterogeneous catalysis"
"cooperative control" -- "multi-agent systems"
"databases" -- "query processing"
"databases" -- "data management"
"speech perception" -- "laboratory phonology"
"osteoporosis" -- "sarcopenia"
"unsaturated soils" -- "geotechnical engineering"
"stochastic processes" -- "probability"
"proof complexity" -- "computational complexity"
"phononics" -- "thermoelectrics"
"word learning" -- "language acquisition"
"audio signal processing" -- "spatial audio"
"tem" -- "sem"
"tem" -- "stem"
"mathematical epidemiology" -- "mathematical biology"
"qsar" -- "chemometrics"
"syntax" -- "syntax-semantics interface"
"syntax" -- "linguistic theory"
"syntax" -- "linguistics"
"syntax" -- "pragmatics"
"political psychology" -- "experimental methods"
"forest ecology" -- "ecological restoration"
"thermodynamics" -- "energy systems"
"thermodynamics" -- "refrigeration"
"thermodynamics" -- "heat transfer"
"psychopharmacology" -- "behavioural neuroscience"
"didáctica de la matemática" -- "educación estadística"
"dyslexia" -- "reading"
"dyslexia" -- "learning disabilities"
"administration" -- "public policy"
"environmental chemistry" -- "analytical chemistry"
"computational electromagnetics" -- "antennas"
"signal" -- "image processing"
"simulation" -- "system modeling"
"astrobiology" -- "geobiology"
"social evolution" -- "social insects"
"neural prosthetics" -- "neural engineering"
"philosophy of physics" -- "metaphysics"
"power system dynamics" -- "stability"
"gas separation" -- "membranes"
"tropical medicine" -- "infectious diseases"
"fungi" -- "symbiosis"
"phased array" -- "antennas"
"design" -- "manufacturing"
"design" -- "typography"
"design" -- "analysis of algorithms"
"plasticity" -- "dislocations"
"political science" -- "public policy"
"political science" -- "international relations"
"political science" -- "international studies"
"political science" -- "methodology"
"organizations" -- "economic sociology"
"normative ethics" -- "political philosophy"
"parallel computing" -- "compilers"
"developmental biology" -- "embryology"
"education policy" -- "comparative education"
"education policy" -- "educational leadership"
"moral psychology" -- "experimental philosophy"
"construction engineering" -- "construction management"
"construction engineering" -- "management"
