"geomicrobiology" -- "biogeochemistry"
"comparative politics" -- "latin america"
"comparative politics" -- "political economy"
"economic evaluation" -- "health economics"
"halogen bonding" -- "supramolecular chemistry"
"prostate cancer" -- "kidney cancer"
"copyright" -- "open access"
"copyright" -- "patents"
"antiviral" -- "virology"
"web security" -- "mobile security"
"web security" -- "computer security"
"underwater acoustics" -- "signal processing"
"vaccines" -- "immunotherapy"
"vaccines" -- "immunology"
"geovisualization" -- "giscience"
"geovisualization" -- "cartography"
"petrophysics" -- "reservoir characterization"
"petrophysics" -- "rock physics"
"sdn" -- "5g"
"sdn" -- "nfv"
"logistics" -- "material handling"
"logistics" -- "transportation"
"logistics" -- "supply chain"
"logistics" -- "supply chain management"
"brain injury" -- "rehabilitation"
"metamorphic petrology" -- "tectonics"
"dns" -- "turbulence"
"oral surgery" -- "dentistry"
"molecular recognition" -- "supramolecular chemistry"
"intelligent transportation systems" -- "traffic simulation"
"intelligent transportation systems" -- "traffic safety"
"intelligent transportation systems" -- "traffic flow theory"
"intelligent transportation systems" -- "autonomous vehicles"
"intelligent transportation systems" -- "intelligent vehicles"
"anomaly detection" -- "graph mining"
"immigration" -- "latino politics"
"immigration" -- "ethnicity"
"thermochronology" -- "tectonics"
"ocean acidification" -- "coral reefs"
"labor" -- "migration"
"international development" -- "poverty"
"digital" -- "social media"
"dreaming" -- "sleep"
"theoretical" -- "computational chemistry"
"language therapy" -- "speech"
"private international law" -- "comparative law"
"evaluation" -- "monitoring"
"evaluation" -- "assessment"
"marketing" -- "retailing"
"marketing" -- "word of mouth"
"marketing" -- "branding"
"marketing" -- "consumer culture theory"
"marketing" -- "advertising"
"marketing" -- "pricing"
"marketing" -- "consumer"
"marketing" -- "services"
"marketing" -- "consumer culture"
"philosophy of language" -- "pragmatics"
"philosophy of language" -- "philosophy of logic"
"philosophy of language" -- "metaethics"
"psycholinguistics" -- "cognitive psychology"
"psycholinguistics" -- "language production"
"psycholinguistics" -- "linguistics"
"psycholinguistics" -- "neurolinguistics"
"psycholinguistics" -- "bilingualism"
"psycholinguistics" -- "cognitive science"
"glacier hydrology" -- "glaciology"
"financial reporting" -- "corporate governance"
"nutrigenomics" -- "nutrition"
"nutrigenomics" -- "nutrigenetics"
"transplantation" -- "nephrology"
"transplantation" -- "surgery"
"distributed systems" -- "operating systems"
"distributed systems" -- "cloud computing"
"distributed systems" -- "middleware"
"distributed systems" -- "distributed algorithms"
"distributed systems" -- "fault tolerance"
"distributed systems" -- "p2p"
"distributed systems" -- "computer networks"
"distributed systems" -- "stream processing"
"distributed systems" -- "networks"
"tectonophysics" -- "geodynamics"
"european union" -- "european integration"
"european union" -- "european politics"
"steganography" -- "watermarking"
"steganography" -- "cryptography"
"steganography" -- "information hiding"
"interfaces" -- "colloids"
"vaccine development" -- "immunology"
"planetary atmospheres" -- "exoplanets"
"energy policy" -- "environmental policy"
"energy policy" -- "energy economics"
"molecular physics" -- "atomic"
"care" -- "early childhood education"
"web search" -- "information retrieval"
"wireless networks" -- "mac"
"wireless networks" -- "cognitive networks"
"wireless networks" -- "vehicular networks"
"wireless networks" -- "mobile computing"
"wireless networks" -- "wireless security"
"wireless networks" -- "sensor networks"
"wireless networks" -- "mac protocols"
"dna replication" -- "dna repair"
"nuclear receptors" -- "metabolism"
"adsorption" -- "separation"
"brain development" -- "neuroimaging"
"multilevel converters" -- "power electronics"
"public budgeting" -- "finance"
"immunity" -- "infection"
"immunity" -- "inflammation"
"nanocomposites" -- "polymers"
"gene expression" -- "transcription"
"pharmaceutical technology" -- "drug delivery"
"pulsars" -- "neutron stars"
"nanogenerator" -- "energy harvesting"
"computer experiments" -- "statistics"
"book history" -- "print culture"
"book history" -- "digital humanities"
"travel behavior" -- "transportation planning"
"transistors" -- "solar cells"
"conservation planning" -- "landscape ecology"
"memory management" -- "operating systems"
"nanotoxicology" -- "nanomedicine"
"media policy" -- "media"
"legal philosophy" -- "political philosophy"
"culture" -- "gender"
"culture" -- "latin american literature"
"culture" -- "victorian literature"
"buildings" -- "energy"
"taxonomy" -- "systematics"
"taxonomy" -- "zoology"
"ocd" -- "anxiety"
"brain tumors" -- "neurosurgery"
"brain tumors" -- "radiosurgery"
"urban economics" -- "regional"
"urban economics" -- "real estate"
"urban economics" -- "public economics"
"urban economics" -- "spatial economics"
"urban economics" -- "real estate economics"
"convex optimization" -- "convex analysis"
"thermal sciences" -- "nanoscale heat transfer"
"thermal sciences" -- "heat transfer"
"film" -- "television"
"film" -- "literature"
"film" -- "documentary"
"waste management" -- "recycling"
"waste management" -- "industrial ecology"
"reproductive biology" -- "oocyte"
"reproductive biology" -- "infertility"
"reproductive biology" -- "andrology"
"coal preparation" -- "mineral processing"
"legal theory" -- "constitutional law"
"legal theory" -- "philosophy of law"
"optimization" -- "operations research"
"optimization" -- "optimal control"
"optimization" -- "variational inequalities"
"optimization" -- "control"
"optimization" -- "simulation"
"optimization" -- "variational analysis"
"optimization" -- "stochastics"
"macromolecular crystallography" -- "structural biology"
"ornithology" -- "conservation biology"
"recommender systems" -- "data mining"
"recommender systems" -- "user modeling"
"rna biology" -- "virology"
"topological dynamics" -- "ergodic theory"
"biomass" -- "bioenergy"
"biomass" -- "gasification"
"biomass" -- "lignin"
"biomass" -- "pyrolysis"
"star formation" -- "planet formation"
"star formation" -- "interstellar medium"
"behavioural economics" -- "experimental economics"
"bioenergy" -- "biofuels"
"bioenergy" -- "biorefinery"
"biosphere-atmosphere interactions" -- "atmospheric chemistry"
"dna barcoding" -- "biodiversity"
"counseling" -- "counselor education"
